date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,-6,20,20,20,24,0,17,0.0,1020,20,10,7,13,"eauclaire,wi"
2019-01-01 01:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,-6,20,20,20,23,0,17,0.0,1020,20,10,8,12,"eauclaire,wi"
2019-01-01 02:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,-6,20,20,20,21,0,17,0.0,1020,20,10,9,11,"eauclaire,wi"
2019-01-01 03:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,-7,19,19,19,20,0,17,0.0,1020,19,10,10,11,"eauclaire,wi"
2019-01-01 04:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,-6,19,19,19,19,0,17,0.0,1020,19,10,9,10,"eauclaire,wi"
2019-01-01 05:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,-6,19,19,19,18,0,18,0.0,1020,19,10,7,10,"eauclaire,wi"
2019-01-01 06:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,-6,19,19,19,17,0,18,0.0,1020,19,10,6,9,"eauclaire,wi"
2019-01-01 07:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,-5,20,20,20,14,0,18,0.0,1020,20,10,27,8,"eauclaire,wi"
2019-01-01 08:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,-4,21,21,21,11,0,19,0.0,1020,21,10,49,6,"eauclaire,wi"
2019-01-01 09:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,-3,21,21,22,8,0,19,0.0,1021,22,10,70,5,"eauclaire,wi"
2019-01-01 10:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,-3,23,23,24,7,0,17,0.0,1020,24,10,118,5,"eauclaire,wi"
2019-01-01 11:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,-3,24,24,26,7,0,15,0.0,1020,26,10,165,5,"eauclaire,wi"
2019-01-01 12:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,-3,26,26,28,7,0,13,0.0,1019,28,10,213,6,"eauclaire,wi"
2019-01-01 13:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,-2,26,26,28,10,0,14,0.0,1019,28,10,220,8,"eauclaire,wi"
2019-01-01 14:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,-1,27,27,29,13,0,15,0.0,1018,29,10,228,11,"eauclaire,wi"
2019-01-01 15:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,0,27,27,29,15,0,16,0.0,1017,29,10,235,13,"eauclaire,wi"
2019-01-01 16:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,2,27,27,29,18,0,18,0.0,1017,29,10,236,14,"eauclaire,wi"
2019-01-01 17:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,3,27,27,28,21,0,21,0.0,1017,28,10,238,15,"eauclaire,wi"
2019-01-01 18:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,4,28,28,28,24,0,24,0.0,1017,28,10,239,15,"eauclaire,wi"
2019-01-01 19:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,6,28,28,27,27,0,30,0.0,1017,27,10,241,16,"eauclaire,wi"
2019-01-01 20:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,7,28,28,26,30,0,35,0.0,1018,26,10,243,17,"eauclaire,wi"
2019-01-01 21:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,8,28,28,25,34,0,41,0.0,1018,25,10,245,18,"eauclaire,wi"
2019-01-01 22:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,9,27,27,24,32,0,45,0.0,1018,24,10,246,17,"eauclaire,wi"
2019-01-01 23:00:00,29,20,0.0,8.7,7,26,02:49 AM,02:26 PM,07:14 AM,05:49 PM,11,26,26,23,30,0,50,0.0,1018,23,10,246,16,"eauclaire,wi"
2019-01-02 00:00:00,31,21,0.0,8.7,7,19,03:45 AM,03:07 PM,07:14 AM,05:50 PM,12,25,25,22,28,1,55,0.0,1018,22,10,247,15,"eauclaire,wi"
2019-01-02 01:00:00,31,21,0.0,8.7,7,19,03:45 AM,03:07 PM,07:14 AM,05:50 PM,13,22,25,22,25,1,58,0.0,1018,22,10,255,14,"eauclaire,wi"
2019-01-02 02:00:00,31,21,0.0,8.7,7,19,03:45 AM,03:07 PM,07:14 AM,05:50 PM,13,22,25,22,22,1,61,0.0,1018,22,10,263,13,"eauclaire,wi"
2019-01-02 03:00:00,31,21,0.0,8.7,7,19,03:45 AM,03:07 PM,07:14 AM,05:50 PM,14,21,25,21,19,1,64,0.0,1018,21,10,270,11,"eauclaire,wi"
2019-01-02 04:00:00,31,21,0.0,8.7,7,19,03:45 AM,03:07 PM,07:14 AM,05:50 PM,14,21,24,21,17,1,63,0.0,1018,21,10,250,10,"eauclaire,wi"
2019-01-02 05:00:00,31,21,0.0,8.7,7,19,03:45 AM,03:07 PM,07:14 AM,05:50 PM,13,21,24,21,15,0,61,0.0,1018,21,10,229,9,"eauclaire,wi"
2019-01-02 06:00:00,31,21,0.0,8.7,7,19,03:45 AM,03:07 PM,07:14 AM,05:50 PM,13,21,23,21,13,0,60,0.0,1019,21,10,208,8,"eauclaire,wi"
2019-01-02 07:00:00,31,21,0.0,8.7,7,19,03:45 AM,03:07 PM,07:14 AM,05:50 PM,11,22,23,22,14,0,53,0.0,1019,22,10,144,9,"eauclaire,wi"
2019-01-02 08:00:00,31,21,0.0,8.7,7,19,03:45 AM,03:07 PM,07:14 AM,05:50 PM,9,23,23,22,15,0,46,0.0,1019,22,10,81,10,"eauclaire,wi"
2019-01-02 09:00:00,31,21,0.0,8.7,7,19,03:45 AM,03:07 PM,07:14 AM,05:50 PM,8,22,22,23,15,0,40,0.0,1020,23,10,18,11,"eauclaire,wi"
2019-01-02 10:00:00,31,21,0.0,8.7,7,19,03:45 AM,03:07 PM,07:14 AM,05:50 PM,7,24,24,24,15,0,35,0.0,1020,24,10,20,12,"eauclaire,wi"
2019-01-02 11:00:00,31,21,0.0,8.7,7,19,03:45 AM,03:07 PM,07:14 AM,05:50 PM,6,25,25,26,15,0,30,0.0,1020,26,10,23,12,"eauclaire,wi"
2019-01-02 12:00:00,31,21,0.0,8.7,7,19,03:45 AM,03:07 PM,07:14 AM,05:50 PM,6,26,26,28,15,0,25,0.0,1020,28,10,25,13,"eauclaire,wi"
2019-01-02 13:00:00,31,21,0.0,8.7,7,19,03:45 AM,03:07 PM,07:14 AM,05:50 PM,6,27,27,29,14,0,23,0.0,1019,29,10,31,12,"eauclaire,wi"
2019-01-02 14:00:00,31,21,0.0,8.7,7,19,03:45 AM,03:07 PM,07:14 AM,05:50 PM,6,28,28,30,13,0,22,0.0,1019,30,10,38,12,"eauclaire,wi"
