date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,0,3,3,3,8,0,83,0.0,1019,2,10,70,4,"fresno,ca"
2019-01-01 01:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,-0,2,2,2,7,0,82,0.0,1020,2,10,64,4,"fresno,ca"
2019-01-01 02:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,-1,2,2,2,7,0,81,0.0,1020,1,10,58,4,"fresno,ca"
2019-01-01 03:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,-1,2,2,2,6,0,80,0.0,1021,1,10,52,4,"fresno,ca"
2019-01-01 04:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,-1,1,1,1,6,0,81,0.0,1021,1,10,39,4,"fresno,ca"
2019-01-01 05:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,-1,1,1,1,6,0,82,0.0,1022,0,10,26,4,"fresno,ca"
2019-01-01 06:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,-1,1,1,1,5,1,83,0.0,1023,0,10,12,4,"fresno,ca"
2019-01-01 07:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,-1,2,2,2,5,1,81,0.0,1023,1,10,28,4,"fresno,ca"
2019-01-01 08:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,-1,3,3,3,4,1,80,0.0,1024,2,10,43,4,"fresno,ca"
2019-01-01 09:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,-0,4,4,4,4,2,78,0.0,1024,3,10,59,4,"fresno,ca"
2019-01-01 10:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,1,6,6,6,3,2,72,0.0,1025,5,10,94,4,"fresno,ca"
2019-01-01 11:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,1,8,8,8,2,1,67,0.0,1025,7,10,128,5,"fresno,ca"
2019-01-01 12:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,2,10,10,10,1,1,61,0.0,1025,9,10,163,5,"fresno,ca"
2019-01-01 13:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,2,10,10,10,2,2,58,0.0,1025,10,10,143,4,"fresno,ca"
2019-01-01 14:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,1,11,11,11,3,4,55,0.0,1025,10,10,123,4,"fresno,ca"
2019-01-01 15:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,1,11,11,11,4,5,51,0.0,1025,10,10,103,3,"fresno,ca"
2019-01-01 16:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,1,10,10,10,6,6,55,0.0,1025,9,10,80,3,"fresno,ca"
2019-01-01 17:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,1,9,9,9,7,7,59,0.0,1025,8,10,57,4,"fresno,ca"
2019-01-01 18:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,1,8,8,8,9,9,62,0.0,1026,7,10,34,4,"fresno,ca"
2019-01-01 19:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,0,6,6,6,10,7,66,0.0,1026,6,10,49,4,"fresno,ca"
2019-01-01 20:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,0,5,5,5,11,6,69,0.0,1026,4,10,64,5,"fresno,ca"
2019-01-01 21:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,-0,4,4,4,12,5,73,0.0,1026,3,10,80,5,"fresno,ca"
2019-01-01 22:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,-1,3,3,3,11,5,75,0.0,1026,3,10,85,5,"fresno,ca"
2019-01-01 23:00:00,11,0,0.0,8.7,3,26,04:04 AM,03:02 PM,08:12 AM,05:54 PM,-1,3,3,3,9,6,77,0.0,1025,2,10,90,5,"fresno,ca"
2019-01-02 00:00:00,11,0,0.0,8.7,3,19,05:04 AM,03:39 PM,08:12 AM,05:55 PM,-1,2,2,2,8,6,79,0.0,1025,1,10,95,5,"fresno,ca"
2019-01-02 01:00:00,11,0,0.0,8.7,3,19,05:04 AM,03:39 PM,08:12 AM,05:55 PM,-1,2,2,2,7,5,81,0.0,1025,1,10,89,4,"fresno,ca"
2019-01-02 02:00:00,11,0,0.0,8.7,3,19,05:04 AM,03:39 PM,08:12 AM,05:55 PM,-1,2,2,2,6,4,84,0.0,1025,1,10,82,3,"fresno,ca"
