date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,19,12,0.0,5.2,5,26,04:18 AM,03:47 PM,08:18 AM,06:50 PM,8,11,11,11,15,9,84,0.0,1017,11,10,27,8,"harlingen,tx"
2019-01-01 01:00:00,19,12,0.0,5.2,5,26,04:18 AM,03:47 PM,08:18 AM,06:50 PM,8,11,11,11,16,11,85,0.0,1017,10,10,30,8,"harlingen,tx"
2019-01-01 02:00:00,19,12,0.0,5.2,5,26,04:18 AM,03:47 PM,08:18 AM,06:50 PM,9,11,11,11,17,14,86,0.0,1017,10,10,34,8,"harlingen,tx"
2019-01-01 03:00:00,19,12,0.0,5.2,5,26,04:18 AM,03:47 PM,08:18 AM,06:50 PM,9,11,11,11,18,17,87,0.0,1016,10,10,38,9,"harlingen,tx"
2019-01-01 04:00:00,19,12,0.0,5.2,5,26,04:18 AM,03:47 PM,08:18 AM,06:50 PM,9,11,11,11,19,27,87,0.0,1016,11,10,39,9,"harlingen,tx"
2019-01-01 05:00:00,19,12,0.0,5.2,5,26,04:18 AM,03:47 PM,08:18 AM,06:50 PM,9,12,12,12,19,37,86,0.0,1017,11,10,41,10,"harlingen,tx"
2019-01-01 06:00:00,19,12,0.0,5.2,5,26,04:18 AM,03:47 PM,08:18 AM,06:50 PM,10,12,12,12,19,47,85,0.0,1017,12,10,42,10,"harlingen,tx"
2019-01-01 07:00:00,19,12,0.0,5.2,5,26,04:18 AM,03:47 PM,08:18 AM,06:50 PM,10,13,13,13,20,57,83,0.0,1017,12,10,39,12,"harlingen,tx"
2019-01-01 08:00:00,19,12,0.0,5.2,5,26,04:18 AM,03:47 PM,08:18 AM,06:50 PM,11,14,14,14,21,66,81,0.0,1017,13,10,37,14,"harlingen,tx"
2019-01-01 09:00:00,19,12,0.0,5.2,5,26,04:18 AM,03:47 PM,08:18 AM,06:50 PM,11,15,15,15,21,75,79,0.0,1017,14,10,34,16,"harlingen,tx"
2019-01-01 10:00:00,19,12,0.0,5.2,5,26,04:18 AM,03:47 PM,08:18 AM,06:50 PM,12,16,16,16,23,82,78,0.0,1017,15,10,37,18,"harlingen,tx"
2019-01-01 11:00:00,19,12,0.0,5.2,5,26,04:18 AM,03:47 PM,08:18 AM,06:50 PM,14,17,17,17,24,88,78,0.0,1017,17,10,40,19,"harlingen,tx"
2019-01-01 12:00:00,19,12,0.0,5.2,5,26,04:18 AM,03:47 PM,08:18 AM,06:50 PM,15,19,19,19,25,94,77,0.0,1018,18,10,43,21,"harlingen,tx"
2019-01-01 13:00:00,19,12,0.0,5.2,5,26,04:18 AM,03:47 PM,08:18 AM,06:50 PM,14,18,18,18,27,96,78,0.0,1017,17,10,44,22,"harlingen,tx"
2019-01-01 14:00:00,19,12,0.0,5.2,5,26,04:18 AM,03:47 PM,08:18 AM,06:50 PM,13,17,17,17,29,97,78,0.0,1017,17,10,44,24,"harlingen,tx"
2019-01-01 15:00:00,19,12,0.0,5.2,5,26,04:18 AM,03:47 PM,08:18 AM,06:50 PM,13,17,17,17,31,99,78,0.0,1017,16,10,44,26,"harlingen,tx"
2019-01-01 16:00:00,19,12,0.0,5.2,5,26,04:18 AM,03:47 PM,08:18 AM,06:50 PM,13,16,16,16,31,99,81,0.0,1017,15,8,43,24,"harlingen,tx"
2019-01-01 17:00:00,19,12,0.0,5.2,5,26,04:18 AM,03:47 PM,08:18 AM,06:50 PM,14,14,16,14,32,99,85,0.1,1017,14,6,41,21,"harlingen,tx"
2019-01-01 18:00:00,19,12,0.0,5.2,5,26,04:18 AM,03:47 PM,08:18 AM,06:50 PM,14,13,16,13,32,99,88,0.1,1017,13,5,40,18,"harlingen,tx"
2019-01-01 19:00:00,19,12,0.0,5.2,5,26,04:18 AM,03:47 PM,08:18 AM,06:50 PM,15,12,15,12,33,100,91,0.0,1017,12,4,34,18,"harlingen,tx"
2019-01-01 20:00:00,19,12,0.0,5.2,5,26,04:18 AM,03:47 PM,08:18 AM,06:50 PM,16,10,13,10,33,100,93,0.1,1017,10,3,29,17,"harlingen,tx"
2019-01-01 21:00:00,19,12,0.0,5.2,5,26,04:18 AM,03:47 PM,08:18 AM,06:50 PM,17,9,12,9,33,100,96,0.1,1018,9,2,24,17,"harlingen,tx"
