date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,13,8,0.0,8.7,3,26,03:43 AM,02:49 PM,07:54 AM,05:46 PM,13,13,13,13,11,55,97,2.7,1016,12,8,246,5,"huntsville,al"
2019-01-01 01:00:00,13,8,0.0,8.7,3,26,03:43 AM,02:49 PM,07:54 AM,05:46 PM,12,12,12,12,11,64,96,1.4,1016,12,7,258,4,"huntsville,al"
2019-01-01 02:00:00,13,8,0.0,8.7,3,26,03:43 AM,02:49 PM,07:54 AM,05:46 PM,11,12,12,12,10,74,96,0.5,1016,11,5,271,4,"huntsville,al"
2019-01-01 03:00:00,13,8,0.0,8.7,3,26,03:43 AM,02:49 PM,07:54 AM,05:46 PM,11,11,11,11,10,84,95,0.7,1017,11,4,283,4,"huntsville,al"
2019-01-01 04:00:00,13,8,0.0,8.7,3,26,03:43 AM,02:49 PM,07:54 AM,05:46 PM,10,11,11,11,10,87,95,0.3,1017,10,5,299,4,"huntsville,al"
2019-01-01 05:00:00,13,8,0.0,8.7,3,26,03:43 AM,02:49 PM,07:54 AM,05:46 PM,10,11,11,11,10,89,94,0.0,1018,10,6,315,4,"huntsville,al"
2019-01-01 06:00:00,13,8,0.0,8.7,3,26,03:43 AM,02:49 PM,07:54 AM,05:46 PM,9,10,10,10,10,92,94,0.0,1019,10,7,332,4,"huntsville,al"
2019-01-01 07:00:00,13,8,0.0,8.7,3,26,03:43 AM,02:49 PM,07:54 AM,05:46 PM,9,10,10,10,10,77,93,0.0,1019,9,8,261,6,"huntsville,al"
2019-01-01 08:00:00,13,8,0.0,8.7,3,26,03:43 AM,02:49 PM,07:54 AM,05:46 PM,8,10,10,10,10,62,91,0.0,1019,9,9,190,7,"huntsville,al"
2019-01-01 09:00:00,13,8,0.0,8.7,3,26,03:43 AM,02:49 PM,07:54 AM,05:46 PM,8,9,9,9,10,48,90,0.0,1019,9,10,118,9,"huntsville,al"
2019-01-01 10:00:00,13,8,0.0,8.7,3,26,03:43 AM,02:49 PM,07:54 AM,05:46 PM,8,10,10,10,9,37,87,0.0,1019,10,10,155,8,"huntsville,al"
2019-01-01 11:00:00,13,8,0.0,8.7,3,26,03:43 AM,02:49 PM,07:54 AM,05:46 PM,9,11,11,11,9,26,84,0.0,1020,11,10,192,7,"huntsville,al"
2019-01-01 12:00:00,13,8,0.0,8.7,3,26,03:43 AM,02:49 PM,07:54 AM,05:46 PM,9,12,12,12,8,16,81,0.0,1020,12,10,229,6,"huntsville,al"
2019-01-01 13:00:00,13,8,0.0,8.7,3,26,03:43 AM,02:49 PM,07:54 AM,05:46 PM,9,13,13,13,9,23,78,0.0,1020,12,10,265,7,"huntsville,al"
