date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,6,2,5,2,21,100,96,5.7,1015,4,6,121,18,"ketchikan,ak"
2019-01-01 01:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,6,3,6,3,20,100,97,2.8,1015,5,6,121,18,"ketchikan,ak"
2019-01-01 02:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,6,4,7,4,20,100,97,2.3,1015,6,6,121,18,"ketchikan,ak"
2019-01-01 03:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,7,5,8,5,19,100,97,3.1,1014,7,6,120,18,"ketchikan,ak"
2019-01-01 04:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,7,5,8,5,19,100,97,1.6,1014,7,6,121,18,"ketchikan,ak"
2019-01-01 05:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,7,5,8,5,20,100,97,2.1,1013,7,6,122,19,"ketchikan,ak"
2019-01-01 06:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,8,5,8,5,20,100,96,2.8,1013,7,6,122,20,"ketchikan,ak"
2019-01-01 07:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,8,6,8,6,21,100,96,1.4,1012,7,6,125,21,"ketchikan,ak"
2019-01-01 08:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,8,7,8,7,23,100,96,2.4,1011,8,6,128,23,"ketchikan,ak"
2019-01-01 09:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,8,8,9,8,24,100,95,3.2,1010,8,6,130,25,"ketchikan,ak"
2019-01-01 10:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,8,8,9,8,27,100,95,1.6,1009,8,5,134,26,"ketchikan,ak"
2019-01-01 11:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,8,9,9,9,29,100,95,2.6,1008,8,5,137,27,"ketchikan,ak"
2019-01-01 12:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,8,9,9,9,32,100,95,3.5,1006,8,5,141,28,"ketchikan,ak"
2019-01-01 13:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,8,9,9,9,36,100,95,1.7,1006,8,5,145,28,"ketchikan,ak"
2019-01-01 14:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,8,9,9,9,40,100,94,3.5,1005,8,5,149,28,"ketchikan,ak"
2019-01-01 15:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,8,9,9,9,44,100,94,4.7,1005,8,5,153,28,"ketchikan,ak"
2019-01-01 16:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,8,9,9,9,42,100,93,2.4,1004,8,5,160,27,"ketchikan,ak"
2019-01-01 17:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,8,9,9,9,40,100,93,5.9,1004,8,5,166,27,"ketchikan,ak"
2019-01-01 18:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,8,9,9,9,38,100,93,7.8,1003,8,5,173,26,"ketchikan,ak"
2019-01-01 19:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,8,8,9,8,32,100,93,3.9,1002,8,5,177,25,"ketchikan,ak"
2019-01-01 20:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,8,7,9,7,27,100,94,8.6,1000,8,5,182,24,"ketchikan,ak"
2019-01-01 21:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,8,6,8,6,22,100,94,11.5,999,8,5,187,23,"ketchikan,ak"
2019-01-01 22:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,8,6,8,6,18,90,94,5.7,999,7,6,208,20,"ketchikan,ak"
2019-01-01 23:00:00,8,7,0.0,1.8,2,26,04:33 AM,02:06 PM,09:14 AM,04:27 PM,8,5,8,5,15,79,94,3.5,998,7,7,228,16,"ketchikan,ak"
2019-01-02 00:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,7,5,8,5,12,69,94,4.7,998,7,8,249,13,"ketchikan,ak"
2019-01-02 01:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,7,5,8,5,11,54,93,2.4,1000,7,8,262,11,"ketchikan,ak"
2019-01-02 02:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,6,5,8,5,9,40,92,0.2,1002,7,9,276,9,"ketchikan,ak"
2019-01-02 03:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,6,5,7,5,8,26,91,0.2,1004,7,10,290,8,"ketchikan,ak"
2019-01-02 04:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,5,5,7,5,8,30,91,0.1,1003,6,10,269,8,"ketchikan,ak"
2019-01-02 05:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,5,5,7,5,8,34,90,0.0,1003,6,10,249,8,"ketchikan,ak"
2019-01-02 06:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,4,4,6,4,8,38,90,0.0,1002,6,10,229,8,"ketchikan,ak"
2019-01-02 07:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,4,4,6,4,9,51,90,0.0,1002,5,10,215,8,"ketchikan,ak"
2019-01-02 08:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,4,4,6,4,11,64,90,0.1,1002,5,10,202,8,"ketchikan,ak"
2019-01-02 09:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,4,3,5,3,13,77,91,0.1,1002,5,10,189,8,"ketchikan,ak"
2019-01-02 10:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,4,3,5,3,13,81,89,0.1,1003,5,10,190,8,"ketchikan,ak"
2019-01-02 11:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,4,4,6,4,13,84,88,0.2,1004,5,10,191,8,"ketchikan,ak"
2019-01-02 12:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,3,4,6,4,13,88,87,0.2,1006,5,9,192,8,"ketchikan,ak"
2019-01-02 13:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,3,4,6,4,11,85,85,0.1,1007,5,9,186,8,"ketchikan,ak"
2019-01-02 14:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,3,3,5,3,9,83,83,0.2,1007,5,9,180,8,"ketchikan,ak"
2019-01-02 15:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,2,3,5,3,8,80,82,0.3,1008,5,9,174,8,"ketchikan,ak"
2019-01-02 16:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,2,3,5,3,7,65,82,0.1,1009,4,9,142,7,"ketchikan,ak"
2019-01-02 17:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,2,4,5,4,6,51,83,0.1,1009,4,9,111,6,"ketchikan,ak"
2019-01-02 18:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,2,4,4,4,5,36,83,0.1,1009,4,10,79,6,"ketchikan,ak"
2019-01-02 19:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,2,3,4,3,6,29,85,0.0,1010,3,10,65,6,"ketchikan,ak"
2019-01-02 20:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,2,3,4,3,6,22,86,0.0,1010,3,10,50,5,"ketchikan,ak"
2019-01-02 21:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,1,2,3,2,7,15,88,0.0,1011,3,10,36,5,"ketchikan,ak"
2019-01-02 22:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,1,2,3,2,8,12,89,0.0,1011,2,10,35,5,"ketchikan,ak"
2019-01-02 23:00:00,5,4,0.0,1.8,1,19,05:47 AM,02:31 PM,09:13 AM,04:28 PM,2,1,3,1,10,10,89,0.0,1010,2,10,34,5,"ketchikan,ak"
2019-01-03 00:00:00,2,1,0.0,1.8,2,11,06:56 AM,03:03 PM,09:13 AM,04:29 PM,2,1,3,1,11,7,90,0.0,1010,2,10,33,5,"ketchikan,ak"
2019-01-03 01:00:00,2,1,0.0,1.8,2,11,06:56 AM,03:03 PM,09:13 AM,04:29 PM,2,1,3,1,12,5,91,0.0,1009,2,10,30,5,"ketchikan,ak"
2019-01-03 02:00:00,2,1,0.0,1.8,2,11,06:56 AM,03:03 PM,09:13 AM,04:29 PM,1,1,3,1,14,3,91,0.0,1007,2,10,28,5,"ketchikan,ak"
2019-01-03 03:00:00,2,1,0.0,1.8,2,11,06:56 AM,03:03 PM,09:13 AM,04:29 PM,1,0,2,0,15,1,91,0.0,1006,2,10,26,6,"ketchikan,ak"
2019-01-03 04:00:00,2,1,0.0,1.8,2,11,06:56 AM,03:03 PM,09:13 AM,04:29 PM,1,-0,2,-0,17,4,89,0.0,1003,1,10,22,6,"ketchikan,ak"
