date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,23,15,0.0,11.7,4,26,01:44 AM,03:29 PM,04:53 AM,08:19 PM,14,15,15,15,15,100,89,0.1,1016,15,10,91,11,"longbeach,ca"
2019-01-01 01:00:00,23,15,0.0,11.7,4,26,01:44 AM,03:29 PM,04:53 AM,08:19 PM,14,15,15,15,14,100,91,0.0,1015,15,7,90,10,"longbeach,ca"
2019-01-01 02:00:00,23,15,0.0,11.7,4,26,01:44 AM,03:29 PM,04:53 AM,08:19 PM,14,15,15,15,13,100,92,0.1,1015,15,5,89,9,"longbeach,ca"
2019-01-01 03:00:00,23,15,0.0,11.7,4,26,01:44 AM,03:29 PM,04:53 AM,08:19 PM,14,15,15,15,13,100,93,0.1,1015,15,2,88,9,"longbeach,ca"
2019-01-01 04:00:00,23,15,0.0,11.7,4,26,01:44 AM,03:29 PM,04:53 AM,08:19 PM,14,15,15,15,11,100,94,0.0,1014,15,2,87,8,"longbeach,ca"
2019-01-01 05:00:00,23,15,0.0,11.7,4,26,01:44 AM,03:29 PM,04:53 AM,08:19 PM,15,15,15,15,10,99,95,0.1,1014,15,2,86,7,"longbeach,ca"
2019-01-01 06:00:00,23,15,0.0,11.7,4,26,01:44 AM,03:29 PM,04:53 AM,08:19 PM,15,15,15,15,9,99,96,0.1,1014,15,2,84,6,"longbeach,ca"
2019-01-01 07:00:00,23,15,0.0,11.7,4,26,01:44 AM,03:29 PM,04:53 AM,08:19 PM,15,17,17,17,9,91,90,0.1,1014,17,5,78,7,"longbeach,ca"
2019-01-01 08:00:00,23,15,0.0,11.7,4,26,01:44 AM,03:29 PM,04:53 AM,08:19 PM,15,18,18,18,9,83,85,0.0,1013,18,7,72,7,"longbeach,ca"
2019-01-01 09:00:00,23,15,0.0,11.7,4,26,01:44 AM,03:29 PM,04:53 AM,08:19 PM,16,19,19,19,9,76,80,0.0,1013,19,10,65,8,"longbeach,ca"
