date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,-1,-3,0.0,5.2,1,26,04:54 AM,03:33 PM,09:17 AM,06:20 PM,-3,-2,1,-2,44,100,74,2.3,1012,0,5,346,14,"muskegon,mi"
2019-01-01 01:00:00,-1,-3,0.0,5.2,1,26,04:54 AM,03:33 PM,09:17 AM,06:20 PM,-3,-3,1,-3,43,97,77,1.1,1010,-0,6,344,15,"muskegon,mi"
2019-01-01 02:00:00,-1,-3,0.0,5.2,1,26,04:54 AM,03:33 PM,09:17 AM,06:20 PM,-3,-4,0,-4,42,95,80,0.0,1009,-0,8,341,15,"muskegon,mi"
2019-01-01 03:00:00,-1,-3,0.0,5.2,1,26,04:54 AM,03:33 PM,09:17 AM,06:20 PM,-3,-4,0,-4,42,92,83,0.0,1007,-1,10,339,15,"muskegon,mi"
2019-01-01 04:00:00,-1,-3,0.0,5.2,1,26,04:54 AM,03:33 PM,09:17 AM,06:20 PM,-3,-5,-1,-5,41,88,82,0.0,1009,-1,10,340,15,"muskegon,mi"
2019-01-01 05:00:00,-1,-3,0.0,5.2,1,26,04:54 AM,03:33 PM,09:17 AM,06:20 PM,-4,-6,-1,-6,41,83,81,0.0,1010,-2,10,342,16,"muskegon,mi"
2019-01-01 06:00:00,-1,-3,0.0,5.2,1,26,04:54 AM,03:33 PM,09:17 AM,06:20 PM,-4,-7,-2,-7,40,79,81,0.0,1012,-3,10,344,17,"muskegon,mi"
2019-01-01 07:00:00,-1,-3,0.0,5.2,1,26,04:54 AM,03:33 PM,09:17 AM,06:20 PM,-4,-7,-2,-7,38,80,80,0.0,1013,-3,10,307,17,"muskegon,mi"
2019-01-01 08:00:00,-1,-3,0.0,5.2,1,26,04:54 AM,03:33 PM,09:17 AM,06:20 PM,-5,-7,-2,-7,36,82,79,0.0,1015,-2,10,271,17,"muskegon,mi"
2019-01-01 09:00:00,-1,-3,0.0,5.2,1,26,04:54 AM,03:33 PM,09:17 AM,06:20 PM,-5,-7,-1,-7,35,83,78,0.0,1017,-2,10,235,17,"muskegon,mi"
