date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,-14,-22,0.0,8.7,2,26,04:55 AM,03:28 PM,09:18 AM,06:12 PM,-17,-23,-14,-23,28,19,84,0.0,1027,-15,10,330,18,"pierre,sd"
2019-01-01 01:00:00,-14,-22,0.0,8.7,2,26,04:55 AM,03:28 PM,09:18 AM,06:12 PM,-18,-25,-16,-25,26,36,84,0.0,1030,-16,10,326,17,"pierre,sd"
2019-01-01 02:00:00,-14,-22,0.0,8.7,2,26,04:55 AM,03:28 PM,09:18 AM,06:12 PM,-19,-26,-17,-26,25,53,84,0.0,1032,-18,10,322,17,"pierre,sd"
2019-01-01 03:00:00,-14,-22,0.0,8.7,2,26,04:55 AM,03:28 PM,09:18 AM,06:12 PM,-20,-28,-18,-28,23,70,83,0.0,1035,-19,10,318,16,"pierre,sd"
2019-01-01 04:00:00,-14,-22,0.0,8.7,2,26,04:55 AM,03:28 PM,09:18 AM,06:12 PM,-21,-28,-19,-28,20,61,82,0.0,1036,-19,10,315,14,"pierre,sd"
2019-01-01 05:00:00,-14,-22,0.0,8.7,2,26,04:55 AM,03:28 PM,09:18 AM,06:12 PM,-22,-27,-19,-27,17,53,80,0.0,1038,-20,10,312,12,"pierre,sd"
2019-01-01 06:00:00,-14,-22,0.0,8.7,2,26,04:55 AM,03:28 PM,09:18 AM,06:12 PM,-23,-27,-20,-27,14,45,79,0.0,1039,-21,10,309,10,"pierre,sd"
2019-01-01 07:00:00,-14,-22,0.0,8.7,2,26,04:55 AM,03:28 PM,09:18 AM,06:12 PM,-23,-27,-20,-27,12,34,81,0.0,1039,-21,10,297,8,"pierre,sd"
2019-01-01 08:00:00,-14,-22,0.0,8.7,2,26,04:55 AM,03:28 PM,09:18 AM,06:12 PM,-22,-27,-20,-27,11,24,83,0.0,1040,-21,10,284,7,"pierre,sd"
2019-01-01 09:00:00,-14,-22,0.0,8.7,2,26,04:55 AM,03:28 PM,09:18 AM,06:12 PM,-22,-27,-21,-27,9,14,86,0.0,1040,-22,10,271,5,"pierre,sd"
2019-01-01 10:00:00,-14,-22,0.0,8.7,2,26,04:55 AM,03:28 PM,09:18 AM,06:12 PM,-22,-26,-20,-26,10,13,85,0.0,1039,-21,10,252,6,"pierre,sd"
2019-01-01 11:00:00,-14,-22,0.0,8.7,2,26,04:55 AM,03:28 PM,09:18 AM,06:12 PM,-21,-26,-19,-26,11,12,84,0.0,1039,-20,10,233,7,"pierre,sd"
