date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,12,5,7,5,45,79,90,4.5,1005,4,8,218,22,"pittsburgh,pa"
2019-01-01 01:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,11,6,8,6,46,86,90,2.2,1006,6,8,227,20,"pittsburgh,pa"
2019-01-01 02:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,9,8,9,8,47,93,90,1.5,1008,8,8,235,19,"pittsburgh,pa"
2019-01-01 03:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,8,10,10,10,47,100,89,2.0,1009,9,8,243,17,"pittsburgh,pa"
2019-01-01 04:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,8,10,10,10,44,100,87,1.0,1010,10,9,249,18,"pittsburgh,pa"
2019-01-01 05:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,8,11,11,11,41,100,84,0.1,1010,10,9,255,18,"pittsburgh,pa"
2019-01-01 06:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,7,11,11,11,37,100,81,0.1,1011,10,10,260,19,"pittsburgh,pa"
2019-01-01 07:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,7,9,10,9,33,99,83,0.1,1012,9,10,268,17,"pittsburgh,pa"
2019-01-01 08:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,6,8,9,8,30,99,84,0.1,1013,8,10,275,16,"pittsburgh,pa"
2019-01-01 09:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,5,6,8,6,26,98,86,0.1,1014,7,10,283,14,"pittsburgh,pa"
2019-01-01 10:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,4,5,7,5,24,97,85,0.1,1015,6,10,287,15,"pittsburgh,pa"
2019-01-01 11:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,3,3,6,3,22,95,85,0.0,1015,5,10,292,16,"pittsburgh,pa"
2019-01-01 12:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,3,1,5,1,20,93,84,0.0,1015,5,10,296,17,"pittsburgh,pa"
2019-01-01 13:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,3,2,6,2,19,92,81,0.0,1015,5,10,296,17,"pittsburgh,pa"
2019-01-01 14:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,2,2,6,2,19,92,78,0.0,1016,5,10,295,17,"pittsburgh,pa"
2019-01-01 15:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,2,2,6,2,18,91,76,0.0,1016,5,10,295,18,"pittsburgh,pa"
2019-01-01 16:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,2,2,6,2,17,93,77,0.0,1017,5,9,300,17,"pittsburgh,pa"
2019-01-01 17:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,3,3,6,3,16,95,79,0.0,1018,5,9,305,17,"pittsburgh,pa"
2019-01-01 18:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,3,3,6,3,15,98,80,0.0,1018,5,8,311,17,"pittsburgh,pa"
2019-01-01 19:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,2,2,5,2,13,98,81,0.0,1019,5,8,320,16,"pittsburgh,pa"
2019-01-01 20:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,2,2,5,2,11,99,82,0.0,1019,4,7,329,15,"pittsburgh,pa"
2019-01-01 21:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,2,2,5,2,9,100,83,0.0,1019,4,7,338,14,"pittsburgh,pa"
2019-01-01 22:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,2,1,4,1,7,100,84,0.0,1020,3,8,342,12,"pittsburgh,pa"
2019-01-01 23:00:00,8,4,0.1,4.8,2,26,04:23 AM,03:12 PM,08:43 AM,06:04 PM,1,1,4,1,5,100,85,0.0,1021,3,9,347,11,"pittsburgh,pa"
2019-01-02 00:00:00,1,0,0.2,6.5,1,19,05:26 AM,03:48 PM,08:43 AM,06:05 PM,1,1,3,1,4,100,86,0.0,1021,2,10,352,10,"pittsburgh,pa"
2019-01-02 01:00:00,1,0,0.2,6.5,1,19,05:26 AM,03:48 PM,08:43 AM,06:05 PM,0,1,2,1,4,100,86,0.0,1022,2,10,349,9,"pittsburgh,pa"
2019-01-02 02:00:00,1,0,0.2,6.5,1,19,05:26 AM,03:48 PM,08:43 AM,06:05 PM,-0,1,2,1,4,100,87,0.0,1024,1,10,347,7,"pittsburgh,pa"
2019-01-02 03:00:00,1,0,0.2,6.5,1,19,05:26 AM,03:48 PM,08:43 AM,06:05 PM,-1,0,1,0,4,100,88,0.0,1025,1,10,345,6,"pittsburgh,pa"
2019-01-02 04:00:00,1,0,0.2,6.5,1,19,05:26 AM,03:48 PM,08:43 AM,06:05 PM,-1,0,2,0,4,100,88,0.0,1024,1,9,310,7,"pittsburgh,pa"
2019-01-02 05:00:00,1,0,0.2,6.5,1,19,05:26 AM,03:48 PM,08:43 AM,06:05 PM,-1,0,2,0,4,100,88,0.0,1024,1,9,274,8,"pittsburgh,pa"
2019-01-02 06:00:00,1,0,0.2,6.5,1,19,05:26 AM,03:48 PM,08:43 AM,06:05 PM,-0,0,2,0,4,100,88,0.0,1023,1,8,239,9,"pittsburgh,pa"
2019-01-02 07:00:00,1,0,0.2,6.5,1,19,05:26 AM,03:48 PM,08:43 AM,06:05 PM,-0,0,2,0,4,100,88,0.0,1024,1,8,180,9,"pittsburgh,pa"
2019-01-02 08:00:00,1,0,0.2,6.5,1,19,05:26 AM,03:48 PM,08:43 AM,06:05 PM,-0,0,2,0,4,100,88,0.0,1025,1,7,121,8,"pittsburgh,pa"
2019-01-02 09:00:00,1,0,0.2,6.5,1,19,05:26 AM,03:48 PM,08:43 AM,06:05 PM,0,1,2,1,4,100,88,0.0,1025,1,7,62,7,"pittsburgh,pa"
2019-01-02 10:00:00,1,0,0.2,6.5,1,19,05:26 AM,03:48 PM,08:43 AM,06:05 PM,-1,-0,2,-0,4,100,83,0.0,1025,1,8,87,8,"pittsburgh,pa"
2019-01-02 11:00:00,1,0,0.2,6.5,1,19,05:26 AM,03:48 PM,08:43 AM,06:05 PM,-2,-1,1,-1,5,99,78,0.0,1024,1,9,112,9,"pittsburgh,pa"
2019-01-02 12:00:00,1,0,0.2,6.5,1,19,05:26 AM,03:48 PM,08:43 AM,06:05 PM,-3,-2,1,-2,5,99,73,0.0,1023,1,10,137,10,"pittsburgh,pa"
2019-01-02 13:00:00,1,0,0.2,6.5,1,19,05:26 AM,03:48 PM,08:43 AM,06:05 PM,-4,-1,2,-1,6,92,69,0.0,1023,1,10,154,9,"pittsburgh,pa"
2019-01-02 14:00:00,1,0,0.2,6.5,1,19,05:26 AM,03:48 PM,08:43 AM,06:05 PM,-4,-1,2,-1,6,85,65,0.0,1023,1,10,170,8,"pittsburgh,pa"
