date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,-2,-3,0.3,3.5,1,26,04:10 AM,03:00 PM,08:27 AM,05:51 PM,-3,-4,1,-4,26,94,77,0.0,1016,-0,10,301,17,"quincy,il"
2019-01-01 01:00:00,-2,-3,0.3,3.5,1,26,04:10 AM,03:00 PM,08:27 AM,05:51 PM,-3,-4,1,-4,25,92,80,0.0,1017,-0,10,306,16,"quincy,il"
2019-01-01 02:00:00,-2,-3,0.3,3.5,1,26,04:10 AM,03:00 PM,08:27 AM,05:51 PM,-2,-4,0,-4,25,91,82,0.0,1019,-0,10,310,15,"quincy,il"
2019-01-01 03:00:00,-2,-3,0.3,3.5,1,26,04:10 AM,03:00 PM,08:27 AM,05:51 PM,-2,-4,0,-4,24,89,84,0.0,1020,-1,10,315,14,"quincy,il"
2019-01-01 04:00:00,-2,-3,0.3,3.5,1,26,04:10 AM,03:00 PM,08:27 AM,05:51 PM,-2,-4,-0,-4,24,90,83,0.0,1021,-1,10,318,14,"quincy,il"
2019-01-01 05:00:00,-2,-3,0.3,3.5,1,26,04:10 AM,03:00 PM,08:27 AM,05:51 PM,-3,-5,-0,-5,23,91,83,0.0,1022,-1,10,322,14,"quincy,il"
2019-01-01 06:00:00,-2,-3,0.3,3.5,1,26,04:10 AM,03:00 PM,08:27 AM,05:51 PM,-3,-5,-1,-5,23,92,82,0.0,1023,-2,10,326,14,"quincy,il"
2019-01-01 07:00:00,-2,-3,0.3,3.5,1,26,04:10 AM,03:00 PM,08:27 AM,05:51 PM,-4,-6,-1,-6,23,94,79,0.0,1024,-2,9,326,15,"quincy,il"
2019-01-01 08:00:00,-2,-3,0.3,3.5,1,26,04:10 AM,03:00 PM,08:27 AM,05:51 PM,-5,-7,-1,-7,23,95,77,0.0,1025,-2,8,326,17,"quincy,il"
2019-01-01 09:00:00,-2,-3,0.3,3.5,1,26,04:10 AM,03:00 PM,08:27 AM,05:51 PM,-6,-7,-2,-7,23,96,74,0.0,1025,-3,7,326,18,"quincy,il"
