date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,3,-8,0.0,8.7,2,26,04:22 AM,02:53 PM,08:40 AM,05:37 PM,-9,-7,-7,-7,4,3,86,0.0,1032,-8,10,223,3,"redmond,or"
2019-01-01 01:00:00,3,-8,0.0,8.7,2,26,04:22 AM,02:53 PM,08:40 AM,05:37 PM,-10,-8,-8,-8,4,4,85,0.0,1032,-8,10,215,3,"redmond,or"
2019-01-01 02:00:00,3,-8,0.0,8.7,2,26,04:22 AM,02:53 PM,08:40 AM,05:37 PM,-10,-8,-8,-8,4,5,85,0.0,1032,-9,10,206,3,"redmond,or"
2019-01-01 03:00:00,3,-8,0.0,8.7,2,26,04:22 AM,02:53 PM,08:40 AM,05:37 PM,-10,-9,-8,-9,5,7,84,0.0,1032,-9,10,198,3,"redmond,or"
2019-01-01 04:00:00,3,-8,0.0,8.7,2,26,04:22 AM,02:53 PM,08:40 AM,05:37 PM,-10,-10,-8,-10,6,10,84,0.0,1031,-9,10,194,3,"redmond,or"
2019-01-01 05:00:00,3,-8,0.0,8.7,2,26,04:22 AM,02:53 PM,08:40 AM,05:37 PM,-10,-10,-8,-10,7,13,83,0.0,1031,-9,10,189,3,"redmond,or"
2019-01-01 06:00:00,3,-8,0.0,8.7,2,26,04:22 AM,02:53 PM,08:40 AM,05:37 PM,-10,-11,-8,-11,8,16,82,0.0,1031,-9,10,185,4,"redmond,or"
2019-01-01 07:00:00,3,-8,0.0,8.7,2,26,04:22 AM,02:53 PM,08:40 AM,05:37 PM,-10,-9,-7,-9,9,15,77,0.0,1031,-7,10,181,4,"redmond,or"
2019-01-01 08:00:00,3,-8,0.0,8.7,2,26,04:22 AM,02:53 PM,08:40 AM,05:37 PM,-10,-8,-5,-8,9,15,72,0.0,1031,-6,10,176,5,"redmond,or"
2019-01-01 09:00:00,3,-8,0.0,8.7,2,26,04:22 AM,02:53 PM,08:40 AM,05:37 PM,-10,-7,-4,-7,10,15,67,0.0,1030,-5,10,172,5,"redmond,or"
2019-01-01 10:00:00,3,-8,0.0,8.7,2,26,04:22 AM,02:53 PM,08:40 AM,05:37 PM,-9,-5,-2,-5,9,14,60,0.0,1030,-3,10,166,6,"redmond,or"
