date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,9,2,0.0,6.7,3,26,04:16 AM,03:28 PM,08:22 AM,06:27 PM,4,5,5,5,13,0,94,0.0,1018,5,10,186,4,"tyler,tx"
2019-01-01 01:00:00,9,2,0.0,6.7,3,26,04:16 AM,03:28 PM,08:22 AM,06:27 PM,4,5,5,5,12,0,95,0.0,1018,4,10,224,4,"tyler,tx"
2019-01-01 02:00:00,9,2,0.0,6.7,3,26,04:16 AM,03:28 PM,08:22 AM,06:27 PM,4,4,4,4,11,0,96,0.0,1019,4,10,262,4,"tyler,tx"
2019-01-01 03:00:00,9,2,0.0,6.7,3,26,04:16 AM,03:28 PM,08:22 AM,06:27 PM,3,4,4,4,10,0,97,0.0,1019,3,10,300,4,"tyler,tx"
2019-01-01 04:00:00,9,2,0.0,6.7,3,26,04:16 AM,03:28 PM,08:22 AM,06:27 PM,3,3,4,3,13,0,93,0.0,1020,3,10,248,8,"tyler,tx"
2019-01-01 05:00:00,9,2,0.0,6.7,3,26,04:16 AM,03:28 PM,08:22 AM,06:27 PM,2,2,4,2,15,0,90,0.0,1022,3,10,195,12,"tyler,tx"
2019-01-01 06:00:00,9,2,0.0,6.7,3,26,04:16 AM,03:28 PM,08:22 AM,06:27 PM,1,1,3,1,18,0,87,0.0,1023,3,10,143,15,"tyler,tx"
2019-01-01 07:00:00,9,2,0.0,6.7,3,26,04:16 AM,03:28 PM,08:22 AM,06:27 PM,1,1,4,1,19,11,83,0.0,1024,3,10,105,17,"tyler,tx"
2019-01-01 08:00:00,9,2,0.0,6.7,3,26,04:16 AM,03:28 PM,08:22 AM,06:27 PM,1,1,4,1,20,22,80,0.0,1024,4,10,67,19,"tyler,tx"
2019-01-01 09:00:00,9,2,0.0,6.7,3,26,04:16 AM,03:28 PM,08:22 AM,06:27 PM,1,1,5,1,22,34,76,0.0,1025,4,10,29,22,"tyler,tx"
2019-01-01 10:00:00,9,2,0.0,6.7,3,26,04:16 AM,03:28 PM,08:22 AM,06:27 PM,2,3,6,3,21,50,76,0.0,1025,5,10,28,20,"tyler,tx"
2019-01-01 11:00:00,9,2,0.0,6.7,3,26,04:16 AM,03:28 PM,08:22 AM,06:27 PM,3,5,7,5,21,66,75,0.0,1025,6,10,26,19,"tyler,tx"
2019-01-01 12:00:00,9,2,0.0,6.7,3,26,04:16 AM,03:28 PM,08:22 AM,06:27 PM,4,7,8,7,21,82,75,0.0,1025,7,10,25,18,"tyler,tx"
2019-01-01 13:00:00,9,2,0.0,6.7,3,26,04:16 AM,03:28 PM,08:22 AM,06:27 PM,4,8,9,8,21,88,73,0.0,1024,8,10,25,17,"tyler,tx"
2019-01-01 14:00:00,9,2,0.0,6.7,3,26,04:16 AM,03:28 PM,08:22 AM,06:27 PM,4,9,9,9,22,93,71,0.0,1024,8,10,24,16,"tyler,tx"
2019-01-01 15:00:00,9,2,0.0,6.7,3,26,04:16 AM,03:28 PM,08:22 AM,06:27 PM,4,10,10,10,22,99,69,0.0,1023,9,10,24,15,"tyler,tx"
2019-01-01 16:00:00,9,2,0.0,6.7,3,26,04:16 AM,03:28 PM,08:22 AM,06:27 PM,4,9,9,9,22,99,70,0.0,1023,9,10,25,15,"tyler,tx"
2019-01-01 17:00:00,9,2,0.0,6.7,3,26,04:16 AM,03:28 PM,08:22 AM,06:27 PM,4,8,9,8,21,99,72,0.0,1024,8,10,26,15,"tyler,tx"
2019-01-01 18:00:00,9,2,0.0,6.7,3,26,04:16 AM,03:28 PM,08:22 AM,06:27 PM,4,7,9,7,21,100,73,0.0,1024,8,10,28,15,"tyler,tx"
