date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,22,17,0.0,10.0,5,26,04:24 AM,03:41 PM,08:31 AM,06:42 PM,18,18,18,18,19,13,98,0.0,1016,17,7,199,5,"valdosta,ga"
2019-01-01 01:00:00,22,17,0.0,10.0,5,26,04:24 AM,03:41 PM,08:31 AM,06:42 PM,18,18,18,18,19,28,98,0.0,1016,17,5,198,5,"valdosta,ga"
2019-01-01 02:00:00,22,17,0.0,10.0,5,26,04:24 AM,03:41 PM,08:31 AM,06:42 PM,18,18,18,18,19,43,98,0.0,1016,17,3,197,6,"valdosta,ga"
2019-01-01 03:00:00,22,17,0.0,10.0,5,26,04:24 AM,03:41 PM,08:31 AM,06:42 PM,18,18,18,18,19,58,97,0.0,1016,17,1,197,6,"valdosta,ga"
2019-01-01 04:00:00,22,17,0.0,10.0,5,26,04:24 AM,03:41 PM,08:31 AM,06:42 PM,17,18,18,18,18,72,96,0.0,1016,17,1,198,6,"valdosta,ga"
2019-01-01 05:00:00,22,17,0.0,10.0,5,26,04:24 AM,03:41 PM,08:31 AM,06:42 PM,17,18,18,18,18,86,96,0.0,1016,17,0,199,7,"valdosta,ga"
2019-01-01 06:00:00,22,17,0.0,10.0,5,26,04:24 AM,03:41 PM,08:31 AM,06:42 PM,17,18,18,18,18,100,95,0.0,1017,17,0,200,7,"valdosta,ga"
2019-01-01 07:00:00,22,17,0.0,10.0,5,26,04:24 AM,03:41 PM,08:31 AM,06:42 PM,17,18,18,18,17,93,94,0.0,1017,18,1,201,7,"valdosta,ga"
2019-01-01 08:00:00,22,17,0.0,10.0,5,26,04:24 AM,03:41 PM,08:31 AM,06:42 PM,17,19,19,19,16,86,93,0.0,1016,18,2,203,8,"valdosta,ga"
2019-01-01 09:00:00,22,17,0.0,10.0,5,26,04:24 AM,03:41 PM,08:31 AM,06:42 PM,17,19,19,19,16,78,92,0.0,1016,18,3,204,9,"valdosta,ga"
