date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,17,10,12,10,37,38,96,0.0,1020,10,10,211,13,"wilmington,nc"
2019-01-01 01:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,16,12,14,12,40,31,95,0.0,1019,12,10,213,14,"wilmington,nc"
2019-01-01 02:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,16,15,15,15,43,25,95,0.0,1019,14,10,216,15,"wilmington,nc"
2019-01-01 03:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,16,17,17,17,46,18,95,0.0,1019,16,10,218,16,"wilmington,nc"
2019-01-01 04:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,16,17,17,17,46,20,95,0.0,1019,16,10,221,16,"wilmington,nc"
2019-01-01 05:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,16,17,17,17,46,22,95,0.0,1018,16,10,224,16,"wilmington,nc"
2019-01-01 06:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,16,17,17,17,45,24,95,0.0,1018,16,10,227,15,"wilmington,nc"
2019-01-01 07:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,16,17,17,17,44,26,95,0.0,1019,16,10,231,15,"wilmington,nc"
2019-01-01 08:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,16,17,17,17,42,28,94,0.0,1019,16,10,234,15,"wilmington,nc"
2019-01-01 09:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,16,17,17,17,40,29,94,0.0,1019,16,10,237,15,"wilmington,nc"
2019-01-01 10:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,16,17,17,17,38,37,92,0.0,1019,16,10,240,15,"wilmington,nc"
2019-01-01 11:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,16,18,18,18,36,46,90,0.0,1020,17,10,244,15,"wilmington,nc"
2019-01-01 12:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,16,18,18,18,34,54,88,0.0,1020,18,10,247,15,"wilmington,nc"
2019-01-01 13:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,16,18,18,18,32,63,88,0.0,1019,18,10,249,14,"wilmington,nc"
2019-01-01 14:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,17,19,19,19,30,73,88,0.0,1019,18,10,252,13,"wilmington,nc"
2019-01-01 15:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,17,19,19,19,28,82,88,0.0,1019,18,10,254,12,"wilmington,nc"
2019-01-01 16:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,17,18,18,18,26,87,90,0.0,1019,18,10,253,10,"wilmington,nc"
2019-01-01 17:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,16,18,18,18,24,92,91,0.0,1019,17,10,252,9,"wilmington,nc"
2019-01-01 18:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,16,18,18,18,23,97,93,0.0,1019,17,10,251,7,"wilmington,nc"
2019-01-01 19:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,16,17,17,17,22,98,95,0.0,1020,17,10,252,6,"wilmington,nc"
2019-01-01 20:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,17,17,17,17,21,99,96,0.1,1020,16,10,252,6,"wilmington,nc"
2019-01-01 21:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,17,17,17,17,19,100,98,0.2,1020,16,10,252,5,"wilmington,nc"
2019-01-01 22:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,16,16,16,16,18,100,98,0.1,1021,16,9,231,6,"wilmington,nc"
2019-01-01 23:00:00,18,15,0.0,8.3,5,26,04:06 AM,03:14 PM,08:18 AM,06:13 PM,16,16,16,16,16,100,98,0.2,1021,15,8,210,6,"wilmington,nc"
2019-01-02 00:00:00,13,11,0.0,5.0,3,19,05:06 AM,03:52 PM,08:18 AM,06:14 PM,16,16,16,16,14,100,98,0.3,1021,15,7,189,6,"wilmington,nc"
2019-01-02 01:00:00,13,11,0.0,5.0,3,19,05:06 AM,03:52 PM,08:18 AM,06:14 PM,15,15,15,15,15,100,97,0.2,1021,15,6,139,7,"wilmington,nc"
2019-01-02 02:00:00,13,11,0.0,5.0,3,19,05:06 AM,03:52 PM,08:18 AM,06:14 PM,15,15,15,15,17,100,95,0.2,1021,14,6,88,8,"wilmington,nc"
2019-01-02 03:00:00,13,11,0.0,5.0,3,19,05:06 AM,03:52 PM,08:18 AM,06:14 PM,14,15,15,15,18,100,94,0.3,1021,14,5,38,9,"wilmington,nc"
2019-01-02 04:00:00,13,11,0.0,5.0,3,19,05:06 AM,03:52 PM,08:18 AM,06:14 PM,13,14,14,14,21,100,92,0.1,1022,13,6,44,11,"wilmington,nc"
2019-01-02 05:00:00,13,11,0.0,5.0,3,19,05:06 AM,03:52 PM,08:18 AM,06:14 PM,12,14,14,14,24,100,91,0.4,1022,13,8,51,13,"wilmington,nc"
