date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,13,4,0.0,8.7,2,26,03:37 AM,02:47 PM,07:41 AM,05:44 PM,1,5,8,5,22,88,62,0.1,1016,7,10,293,13,"yuma,az"
2019-01-01 01:00:00,13,4,0.0,8.7,2,26,03:37 AM,02:47 PM,07:41 AM,05:44 PM,-2,5,8,5,23,60,53,0.0,1016,7,10,299,15,"yuma,az"
2019-01-01 02:00:00,13,4,0.0,8.7,2,26,03:37 AM,02:47 PM,07:41 AM,05:44 PM,-4,4,7,4,24,31,44,0.0,1017,7,10,304,17,"yuma,az"
2019-01-01 03:00:00,13,4,0.0,8.7,2,26,03:37 AM,02:47 PM,07:41 AM,05:44 PM,-7,4,7,4,25,3,35,0.0,1017,6,10,309,19,"yuma,az"
2019-01-01 04:00:00,13,4,0.0,8.7,2,26,03:37 AM,02:47 PM,07:41 AM,05:44 PM,-8,3,6,3,31,2,35,0.0,1018,6,10,324,22,"yuma,az"
2019-01-01 05:00:00,13,4,0.0,8.7,2,26,03:37 AM,02:47 PM,07:41 AM,05:44 PM,-8,1,6,1,37,1,36,0.0,1020,5,10,339,26,"yuma,az"
2019-01-01 06:00:00,13,4,0.0,8.7,2,26,03:37 AM,02:47 PM,07:41 AM,05:44 PM,-9,0,5,0,42,0,36,0.0,1021,4,10,354,29,"yuma,az"
2019-01-01 07:00:00,13,4,0.0,8.7,2,26,03:37 AM,02:47 PM,07:41 AM,05:44 PM,-9,1,6,1,45,0,33,0.0,1022,5,10,355,28,"yuma,az"
2019-01-01 08:00:00,13,4,0.0,8.7,2,26,03:37 AM,02:47 PM,07:41 AM,05:44 PM,-9,3,7,3,47,0,31,0.0,1022,6,10,356,27,"yuma,az"
2019-01-01 09:00:00,13,4,0.0,8.7,2,26,03:37 AM,02:47 PM,07:41 AM,05:44 PM,-9,4,8,4,49,0,28,0.0,1023,7,10,356,26,"yuma,az"
2019-01-01 10:00:00,13,4,0.0,8.7,2,26,03:37 AM,02:47 PM,07:41 AM,05:44 PM,-9,7,9,7,48,0,26,0.0,1023,9,10,355,26,"yuma,az"
2019-01-01 11:00:00,13,4,0.0,8.7,2,26,03:37 AM,02:47 PM,07:41 AM,05:44 PM,-9,9,11,9,47,0,24,0.0,1024,10,10,353,26,"yuma,az"
2019-01-01 12:00:00,13,4,0.0,8.7,2,26,03:37 AM,02:47 PM,07:41 AM,05:44 PM,-9,12,12,12,46,0,22,0.0,1024,11,10,351,26,"yuma,az"
2019-01-01 13:00:00,13,4,0.0,8.7,2,26,03:37 AM,02:47 PM,07:41 AM,05:44 PM,-9,13,13,13,43,0,21,0.0,1023,12,10,352,24,"yuma,az"
2019-01-01 14:00:00,13,4,0.0,8.7,2,26,03:37 AM,02:47 PM,07:41 AM,05:44 PM,-10,13,13,13,41,0,19,0.0,1023,13,10,352,22,"yuma,az"
2019-01-01 15:00:00,13,4,0.0,8.7,2,26,03:37 AM,02:47 PM,07:41 AM,05:44 PM,-10,14,14,14,39,0,18,0.0,1022,13,10,353,21,"yuma,az"
2019-01-01 16:00:00,13,4,0.0,8.7,2,26,03:37 AM,02:47 PM,07:41 AM,05:44 PM,-10,13,13,13,37,0,19,0.0,1022,13,10,353,18,"yuma,az"
2019-01-01 17:00:00,13,4,0.0,8.7,2,26,03:37 AM,02:47 PM,07:41 AM,05:44 PM,-10,13,13,13,36,0,19,0.0,1022,12,10,353,16,"yuma,az"
