date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,12,9,0.0,3.4,3,37,12:49 PM,No moonset,08:41 AM,05:59 PM,6,8,10,8,11,82,73,0.3,1022,8,10,170,6,"arcata,ca"
2020-01-01 01:00:00,12,9,0.0,3.4,3,37,12:49 PM,No moonset,08:41 AM,05:59 PM,7,9,10,9,10,88,78,0.1,1022,9,9,177,5,"arcata,ca"
2020-01-01 02:00:00,12,9,0.0,3.4,3,37,12:49 PM,No moonset,08:41 AM,05:59 PM,8,10,10,10,9,94,83,0.6,1022,10,9,184,5,"arcata,ca"
2020-01-01 03:00:00,12,9,0.0,3.4,3,37,12:49 PM,No moonset,08:41 AM,05:59 PM,9,11,10,11,7,100,88,0.8,1021,10,8,191,4,"arcata,ca"
2020-01-01 04:00:00,12,9,0.0,3.4,3,37,12:49 PM,No moonset,08:41 AM,05:59 PM,9,11,11,11,8,100,91,0.4,1021,11,8,189,5,"arcata,ca"
2020-01-01 05:00:00,12,9,0.0,3.4,3,37,12:49 PM,No moonset,08:41 AM,05:59 PM,10,11,11,11,8,100,94,0.9,1021,11,8,188,5,"arcata,ca"
2020-01-01 06:00:00,12,9,0.0,3.4,3,37,12:49 PM,No moonset,08:41 AM,05:59 PM,11,11,11,11,9,100,97,1.2,1021,11,8,187,5,"arcata,ca"
2020-01-01 07:00:00,12,9,0.0,3.4,3,37,12:49 PM,No moonset,08:41 AM,05:59 PM,11,11,11,11,8,100,98,0.6,1021,11,8,214,5,"arcata,ca"
2020-01-01 08:00:00,12,9,0.0,3.4,3,37,12:49 PM,No moonset,08:41 AM,05:59 PM,11,11,11,11,7,100,98,0.5,1022,11,9,241,5,"arcata,ca"
2020-01-01 09:00:00,12,9,0.0,3.4,3,37,12:49 PM,No moonset,08:41 AM,05:59 PM,11,12,12,12,7,100,99,0.7,1022,12,9,268,5,"arcata,ca"
2020-01-01 10:00:00,12,9,0.0,3.4,3,37,12:49 PM,No moonset,08:41 AM,05:59 PM,11,12,12,12,8,98,98,0.3,1022,12,9,288,5,"arcata,ca"
2020-01-01 11:00:00,12,9,0.0,3.4,3,37,12:49 PM,No moonset,08:41 AM,05:59 PM,12,12,12,12,9,97,98,0.5,1022,12,9,308,6,"arcata,ca"
