date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-2,-3,1,-3,20,0,85,0.0,1015,1,10,330,12,"asheville,nc"
2020-01-01 01:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-2,-3,0,-3,21,0,85,0.0,1015,0,10,329,12,"asheville,nc"
2020-01-01 02:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-2,-4,0,-4,21,0,84,0.0,1016,0,10,329,13,"asheville,nc"
2020-01-01 03:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-2,-4,0,-4,22,0,84,0.0,1016,0,10,328,13,"asheville,nc"
2020-01-01 04:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-2,-4,-0,-4,22,0,84,0.0,1016,-0,10,327,13,"asheville,nc"
2020-01-01 05:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-3,-4,-0,-4,22,0,83,0.0,1016,-0,10,327,14,"asheville,nc"
2020-01-01 06:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-3,-5,-1,-5,22,0,83,0.0,1016,-1,10,326,14,"asheville,nc"
2020-01-01 07:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-3,-4,-0,-4,21,1,81,0.0,1017,-0,10,326,13,"asheville,nc"
2020-01-01 08:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-3,-4,0,-4,20,1,79,0.0,1017,0,10,326,13,"asheville,nc"
2020-01-01 09:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-3,-3,1,-3,18,2,77,0.0,1017,1,10,326,12,"asheville,nc"
2020-01-01 10:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-3,-1,2,-1,16,3,71,0.0,1017,2,10,326,12,"asheville,nc"
2020-01-01 11:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-2,1,4,1,15,3,66,0.0,1017,4,10,326,12,"asheville,nc"
2020-01-01 12:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-2,3,5,3,13,4,60,0.0,1017,5,10,326,11,"asheville,nc"
2020-01-01 13:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-2,4,6,4,12,7,57,0.0,1017,6,10,330,10,"asheville,nc"
2020-01-01 14:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-2,6,7,6,11,9,53,0.0,1016,7,10,334,9,"asheville,nc"
2020-01-01 15:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-1,7,8,7,10,12,50,0.0,1016,8,10,339,8,"asheville,nc"
2020-01-01 16:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-2,7,8,7,9,14,52,0.0,1016,8,10,342,7,"asheville,nc"
2020-01-01 17:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-2,7,8,7,9,16,55,0.0,1016,7,10,344,7,"asheville,nc"
2020-01-01 18:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-2,6,8,6,8,19,57,0.0,1016,7,10,347,6,"asheville,nc"
2020-01-01 19:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-3,5,7,5,8,18,60,0.0,1016,6,10,340,5,"asheville,nc"
2020-01-01 20:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-4,4,6,4,8,18,63,0.0,1016,4,10,332,5,"asheville,nc"
2020-01-01 21:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-5,3,5,3,8,17,66,0.0,1017,3,10,325,4,"asheville,nc"
2020-01-01 22:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-5,2,3,2,7,23,64,0.0,1017,2,10,321,3,"asheville,nc"
2020-01-01 23:00:00,8,-1,0.0,9.9,2,37,12:55 PM,No moonset,08:40 AM,06:27 PM,-6,1,2,1,5,28,61,0.0,1017,1,10,318,3,"asheville,nc"
2020-01-02 00:00:00,8,-3,0.0,6.6,3,44,01:23 PM,12:40 AM,08:40 AM,06:28 PM,-7,0,0,0,4,34,59,0.0,1017,0,10,315,2,"asheville,nc"
2020-01-02 01:00:00,8,-3,0.0,6.6,3,44,01:23 PM,12:40 AM,08:40 AM,06:28 PM,-7,1,1,1,4,37,58,0.0,1017,1,10,306,2,"asheville,nc"
2020-01-02 02:00:00,8,-3,0.0,6.6,3,44,01:23 PM,12:40 AM,08:40 AM,06:28 PM,-7,1,1,1,4,40,57,0.0,1017,1,10,298,2,"asheville,nc"
2020-01-02 03:00:00,8,-3,0.0,6.6,3,44,01:23 PM,12:40 AM,08:40 AM,06:28 PM,-7,1,1,1,4,44,55,0.0,1017,1,10,289,2,"asheville,nc"
2020-01-02 04:00:00,8,-3,0.0,6.6,3,44,01:23 PM,12:40 AM,08:40 AM,06:28 PM,-7,1,1,1,5,44,54,0.0,1017,1,10,270,2,"asheville,nc"
2020-01-02 05:00:00,8,-3,0.0,6.6,3,44,01:23 PM,12:40 AM,08:40 AM,06:28 PM,-7,2,2,2,5,45,52,0.0,1017,2,10,251,2,"asheville,nc"
2020-01-02 06:00:00,8,-3,0.0,6.6,3,44,01:23 PM,12:40 AM,08:40 AM,06:28 PM,-7,2,2,2,6,45,51,0.0,1017,2,10,232,3,"asheville,nc"
2020-01-02 07:00:00,8,-3,0.0,6.6,3,44,01:23 PM,12:40 AM,08:40 AM,06:28 PM,-6,3,3,3,5,50,50,0.0,1017,3,10,237,2,"asheville,nc"
2020-01-02 08:00:00,8,-3,0.0,6.6,3,44,01:23 PM,12:40 AM,08:40 AM,06:28 PM,-6,4,4,4,5,54,50,0.0,1017,4,10,243,2,"asheville,nc"
2020-01-02 09:00:00,8,-3,0.0,6.6,3,44,01:23 PM,12:40 AM,08:40 AM,06:28 PM,-5,4,4,4,4,59,49,0.0,1017,4,10,249,2,"asheville,nc"
2020-01-02 10:00:00,8,-3,0.0,6.6,3,44,01:23 PM,12:40 AM,08:40 AM,06:28 PM,-4,6,6,6,4,62,53,0.0,1017,6,9,231,2,"asheville,nc"
2020-01-02 11:00:00,8,-3,0.0,6.6,3,44,01:23 PM,12:40 AM,08:40 AM,06:28 PM,-2,7,7,7,3,64,56,0.1,1017,7,8,213,2,"asheville,nc"
2020-01-02 12:00:00,8,-3,0.0,6.6,3,44,01:23 PM,12:40 AM,08:40 AM,06:28 PM,0,8,8,8,3,67,59,0.1,1017,8,7,196,2,"asheville,nc"
2020-01-02 13:00:00,8,-3,0.0,6.6,3,44,01:23 PM,12:40 AM,08:40 AM,06:28 PM,1,7,7,7,4,78,67,0.0,1017,7,6,180,3,"asheville,nc"
2020-01-02 14:00:00,8,-3,0.0,6.6,3,44,01:23 PM,12:40 AM,08:40 AM,06:28 PM,2,7,7,7,5,89,75,0.3,1017,7,5,165,3,"asheville,nc"
2020-01-02 15:00:00,8,-3,0.0,6.6,3,44,01:23 PM,12:40 AM,08:40 AM,06:28 PM,4,6,7,6,6,100,82,0.4,1016,7,4,149,4,"asheville,nc"
2020-01-02 16:00:00,8,-3,0.0,6.6,3,44,01:23 PM,12:40 AM,08:40 AM,06:28 PM,4,5,6,5,8,100,87,0.2,1016,6,6,146,5,"asheville,nc"
2020-01-02 17:00:00,8,-3,0.0,6.6,3,44,01:23 PM,12:40 AM,08:40 AM,06:28 PM,4,4,5,4,9,100,92,0.8,1015,5,7,143,5,"asheville,nc"
2020-01-02 18:00:00,8,-3,0.0,6.6,3,44,01:23 PM,12:40 AM,08:40 AM,06:28 PM,5,3,4,3,11,100,96,1.1,1015,4,8,140,6,"asheville,nc"
2020-01-02 19:00:00,8,-3,0.0,6.6,3,44,01:23 PM,12:40 AM,08:40 AM,06:28 PM,5,2,4,2,12,100,97,0.6,1015,2,8,142,7,"asheville,nc"
2020-01-02 20:00:00,8,-3,0.0,6.6,3,44,01:23 PM,12:40 AM,08:40 AM,06:28 PM,6,1,3,1,14,100,97,2.3,1014,1,7,144,8,"asheville,nc"
