date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-2,-5,-0,-5,29,100,87,0.4,1011,-3,2,258,21,"clarksburg,wv"
2020-01-01 01:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-2,-5,-0,-5,28,100,88,0.2,1011,-2,2,257,20,"clarksburg,wv"
2020-01-01 02:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-2,-5,-1,-5,27,100,89,0.2,1011,-1,2,257,19,"clarksburg,wv"
2020-01-01 03:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-2,-6,-1,-6,26,100,90,0.2,1011,-1,2,257,18,"clarksburg,wv"
2020-01-01 04:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-3,-6,-1,-6,26,96,89,0.1,1011,-1,3,258,18,"clarksburg,wv"
2020-01-01 05:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-3,-6,-1,-6,25,92,87,0.1,1011,-1,4,259,18,"clarksburg,wv"
2020-01-01 06:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-3,-6,-1,-6,25,88,85,0.1,1012,-1,5,259,17,"clarksburg,wv"
2020-01-01 07:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-4,-6,-1,-6,24,81,84,0.1,1012,-1,6,258,17,"clarksburg,wv"
2020-01-01 08:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-4,-6,-1,-6,23,75,82,0.0,1012,-1,8,257,17,"clarksburg,wv"
2020-01-01 09:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-4,-6,-1,-6,23,68,81,0.0,1013,-1,10,255,17,"clarksburg,wv"
2020-01-01 10:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-4,-6,-1,-6,23,70,79,0.0,1013,-1,10,256,17,"clarksburg,wv"
2020-01-01 11:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-4,-5,-0,-5,22,73,77,0.0,1013,-0,10,256,18,"clarksburg,wv"
2020-01-01 12:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-4,-5,0,-5,22,76,75,0.0,1013,0,10,257,19,"clarksburg,wv"
2020-01-01 13:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-3,-4,1,-4,22,77,75,0.0,1013,1,10,256,18,"clarksburg,wv"
2020-01-01 14:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-3,-4,1,-4,22,79,75,0.0,1013,1,10,255,18,"clarksburg,wv"
2020-01-01 15:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-2,-3,2,-3,22,81,75,0.0,1013,2,10,253,18,"clarksburg,wv"
2020-01-01 16:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-2,-3,2,-3,21,83,77,0.0,1013,1,10,249,17,"clarksburg,wv"
2020-01-01 17:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-2,-3,1,-3,21,85,78,0.0,1014,1,10,245,16,"clarksburg,wv"
2020-01-01 18:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-2,-3,1,-3,21,87,80,0.0,1014,0,10,241,15,"clarksburg,wv"
2020-01-01 19:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-2,-3,1,-3,20,74,81,0.0,1014,-1,10,232,14,"clarksburg,wv"
2020-01-01 20:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-1,-3,1,-3,20,60,83,0.0,1014,-2,10,222,13,"clarksburg,wv"
2020-01-01 21:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-1,-3,1,-3,19,47,85,0.0,1015,-3,10,213,12,"clarksburg,wv"
2020-01-01 22:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-1,-3,1,-3,18,32,87,0.0,1015,-3,10,200,11,"clarksburg,wv"
2020-01-01 23:00:00,2,-5,0.9,4.8,1,37,12:49 PM,No moonset,08:41 AM,06:09 PM,-1,-4,-0,-4,18,17,90,0.0,1015,-3,10,188,10,"clarksburg,wv"
2020-01-02 00:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,-1,-4,-1,-4,17,2,93,0.0,1015,-3,10,175,8,"clarksburg,wv"
2020-01-02 01:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,-1,-4,-0,-4,17,2,92,0.0,1015,-2,10,177,8,"clarksburg,wv"
2020-01-02 02:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,-1,-3,-0,-3,17,1,92,0.0,1015,-1,10,179,8,"clarksburg,wv"
2020-01-02 03:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,-1,-3,0,-3,17,0,91,0.0,1015,0,10,181,8,"clarksburg,wv"
2020-01-02 04:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,-1,-3,0,-3,17,2,89,0.0,1015,0,10,183,8,"clarksburg,wv"
2020-01-02 05:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,-2,-2,0,-2,17,4,88,0.0,1015,0,10,184,8,"clarksburg,wv"
2020-01-02 06:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,-2,-2,0,-2,17,6,86,0.0,1015,0,10,186,8,"clarksburg,wv"
2020-01-02 07:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,-2,-2,1,-2,17,19,80,0.0,1015,1,10,184,8,"clarksburg,wv"
2020-01-02 08:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,-3,-1,2,-1,17,32,74,0.0,1014,2,10,181,8,"clarksburg,wv"
2020-01-02 09:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,-3,-0,2,-0,17,45,68,0.0,1014,2,10,179,9,"clarksburg,wv"
2020-01-02 10:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,-3,2,4,2,17,61,61,0.0,1014,4,10,187,10,"clarksburg,wv"
2020-01-02 11:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,-3,4,6,4,18,77,54,0.0,1013,6,10,194,11,"clarksburg,wv"
2020-01-02 12:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,-3,5,8,5,19,93,47,0.0,1013,8,10,202,12,"clarksburg,wv"
2020-01-02 13:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,-2,6,8,6,19,90,47,0.0,1012,8,10,209,13,"clarksburg,wv"
2020-01-02 14:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,-2,7,9,7,19,88,48,0.0,1012,9,10,216,13,"clarksburg,wv"
2020-01-02 15:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,-1,8,10,8,19,86,48,0.0,1011,10,10,223,13,"clarksburg,wv"
2020-01-02 16:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,0,7,9,7,18,91,55,0.0,1011,9,10,219,12,"clarksburg,wv"
2020-01-02 17:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,1,7,9,7,17,95,62,0.0,1011,9,10,215,11,"clarksburg,wv"
2020-01-02 18:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,3,7,8,7,16,100,69,0.0,1011,8,10,211,9,"clarksburg,wv"
2020-01-02 19:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,4,6,8,6,16,99,74,0.0,1011,8,10,207,9,"clarksburg,wv"
2020-01-02 20:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,5,6,8,6,16,99,80,0.1,1011,7,10,202,9,"clarksburg,wv"
2020-01-02 21:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,6,6,8,6,15,98,86,0.1,1011,7,10,198,9,"clarksburg,wv"
2020-01-02 22:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,6,6,8,6,15,97,88,0.1,1010,6,9,199,8,"clarksburg,wv"
2020-01-02 23:00:00,11,0,0.0,6.5,3,44,01:15 PM,12:29 AM,08:41 AM,06:09 PM,7,6,9,6,15,97,91,0.3,1010,6,8,200,8,"clarksburg,wv"
2020-01-03 00:00:00,11,7,0.0,4.8,3,51,01:40 PM,01:27 AM,08:41 AM,06:10 PM,8,6,9,6,15,96,94,0.4,1010,6,7,201,8,"clarksburg,wv"
2020-01-03 01:00:00,11,7,0.0,4.8,3,51,01:40 PM,01:27 AM,08:41 AM,06:10 PM,8,7,9,7,14,97,95,0.2,1009,7,6,194,8,"clarksburg,wv"
2020-01-03 02:00:00,11,7,0.0,4.8,3,51,01:40 PM,01:27 AM,08:41 AM,06:10 PM,8,7,9,7,13,99,96,0.5,1009,8,5,187,7,"clarksburg,wv"
2020-01-03 03:00:00,11,7,0.0,4.8,3,51,01:40 PM,01:27 AM,08:41 AM,06:10 PM,9,8,9,8,13,100,97,0.7,1008,9,4,180,7,"clarksburg,wv"
2020-01-03 04:00:00,11,7,0.0,4.8,3,51,01:40 PM,01:27 AM,08:41 AM,06:10 PM,9,8,9,8,11,100,97,0.4,1008,9,5,170,6,"clarksburg,wv"
2020-01-03 05:00:00,11,7,0.0,4.8,3,51,01:40 PM,01:27 AM,08:41 AM,06:10 PM,9,9,9,9,10,100,98,1.5,1008,9,6,160,5,"clarksburg,wv"
2020-01-03 06:00:00,11,7,0.0,4.8,3,51,01:40 PM,01:27 AM,08:41 AM,06:10 PM,9,9,9,9,9,100,98,2.0,1008,9,7,151,5,"clarksburg,wv"
2020-01-03 07:00:00,11,7,0.0,4.8,3,51,01:40 PM,01:27 AM,08:41 AM,06:10 PM,9,9,9,9,11,100,98,1.0,1008,9,7,165,6,"clarksburg,wv"
2020-01-03 08:00:00,11,7,0.0,4.8,3,51,01:40 PM,01:27 AM,08:41 AM,06:10 PM,9,9,9,9,12,100,98,1.6,1008,9,7,179,7,"clarksburg,wv"
2020-01-03 09:00:00,11,7,0.0,4.8,3,51,01:40 PM,01:27 AM,08:41 AM,06:10 PM,9,9,10,9,14,100,98,2.1,1008,10,7,193,8,"clarksburg,wv"
2020-01-03 10:00:00,11,7,0.0,4.8,3,51,01:40 PM,01:27 AM,08:41 AM,06:10 PM,10,9,10,9,16,100,97,1.1,1009,10,7,202,10,"clarksburg,wv"
2020-01-03 11:00:00,11,7,0.0,4.8,3,51,01:40 PM,01:27 AM,08:41 AM,06:10 PM,10,9,10,9,18,100,97,1.1,1009,10,7,212,11,"clarksburg,wv"
2020-01-03 12:00:00,11,7,0.0,4.8,3,51,01:40 PM,01:27 AM,08:41 AM,06:10 PM,10,9,11,9,19,100,97,1.5,1009,11,7,222,12,"clarksburg,wv"
2020-01-03 13:00:00,11,7,0.0,4.8,3,51,01:40 PM,01:27 AM,08:41 AM,06:10 PM,10,9,11,9,18,100,97,0.7,1009,11,7,219,11,"clarksburg,wv"
