date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,1,-3,0.0,8.7,1,37,01:03 PM,No moonset,09:01 AM,06:10 PM,-4,-8,-2,-8,27,100,86,0.1,1008,-2,7,260,20,"detroit,mi"
2020-01-01 01:00:00,1,-3,0.0,8.7,1,37,01:03 PM,No moonset,09:01 AM,06:10 PM,-5,-8,-2,-8,26,100,85,0.0,1008,-2,8,260,20,"detroit,mi"
2020-01-01 02:00:00,1,-3,0.0,8.7,1,37,01:03 PM,No moonset,09:01 AM,06:10 PM,-5,-8,-2,-8,26,100,84,0.0,1008,-2,9,261,20,"detroit,mi"
2020-01-01 03:00:00,1,-3,0.0,8.7,1,37,01:03 PM,No moonset,09:01 AM,06:10 PM,-5,-8,-2,-8,26,99,83,0.0,1008,-2,10,261,19,"detroit,mi"
2020-01-01 04:00:00,1,-3,0.0,8.7,1,37,01:03 PM,No moonset,09:01 AM,06:10 PM,-5,-8,-2,-8,26,99,80,0.0,1008,-2,10,263,20,"detroit,mi"
2020-01-01 05:00:00,1,-3,0.0,8.7,1,37,01:03 PM,No moonset,09:01 AM,06:10 PM,-6,-8,-2,-8,27,99,77,0.0,1009,-2,10,265,20,"detroit,mi"
2020-01-01 06:00:00,1,-3,0.0,8.7,1,37,01:03 PM,No moonset,09:01 AM,06:10 PM,-6,-8,-2,-8,27,99,75,0.0,1009,-2,10,268,21,"detroit,mi"
2020-01-01 07:00:00,1,-3,0.0,8.7,1,37,01:03 PM,No moonset,09:01 AM,06:10 PM,-6,-8,-2,-8,27,97,75,0.0,1009,-2,10,265,21,"detroit,mi"
2020-01-01 08:00:00,1,-3,0.0,8.7,1,37,01:03 PM,No moonset,09:01 AM,06:10 PM,-6,-8,-2,-8,26,94,76,0.0,1009,-2,10,263,20,"detroit,mi"
2020-01-01 09:00:00,1,-3,0.0,8.7,1,37,01:03 PM,No moonset,09:01 AM,06:10 PM,-6,-8,-2,-8,26,92,77,0.0,1010,-2,10,261,20,"detroit,mi"
2020-01-01 10:00:00,1,-3,0.0,8.7,1,37,01:03 PM,No moonset,09:01 AM,06:10 PM,-5,-7,-2,-7,26,81,76,0.0,1010,-2,10,255,20,"detroit,mi"
2020-01-01 11:00:00,1,-3,0.0,8.7,1,37,01:03 PM,No moonset,09:01 AM,06:10 PM,-5,-7,-1,-7,25,69,76,0.0,1010,-1,10,250,20,"detroit,mi"
2020-01-01 12:00:00,1,-3,0.0,8.7,1,37,01:03 PM,No moonset,09:01 AM,06:10 PM,-5,-7,-1,-7,25,57,76,0.0,1010,-1,10,245,20,"detroit,mi"
2020-01-01 13:00:00,1,-3,0.0,8.7,1,37,01:03 PM,No moonset,09:01 AM,06:10 PM,-4,-6,-1,-6,24,43,75,0.0,1010,-1,10,241,19,"detroit,mi"
2020-01-01 14:00:00,1,-3,0.0,8.7,1,37,01:03 PM,No moonset,09:01 AM,06:10 PM,-4,-5,0,-5,24,28,73,0.0,1009,0,10,237,18,"detroit,mi"
2020-01-01 15:00:00,1,-3,0.0,8.7,1,37,01:03 PM,No moonset,09:01 AM,06:10 PM,-4,-4,1,-4,23,14,72,0.0,1009,1,10,233,18,"detroit,mi"
2020-01-01 16:00:00,1,-3,0.0,8.7,1,37,01:03 PM,No moonset,09:01 AM,06:10 PM,-3,-4,1,-4,24,10,73,0.0,1009,1,10,230,17,"detroit,mi"
