date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,12,0,0.0,9.8,3,37,01:01 PM,No moonset,08:49 AM,06:24 PM,-6,-1,3,-1,30,0,59,0.0,1016,2,10,216,14,"gardencity,ks"
2020-01-01 01:00:00,12,0,0.0,9.8,3,37,01:01 PM,No moonset,08:49 AM,06:24 PM,-6,-2,2,-2,31,0,61,0.0,1015,1,10,212,15,"gardencity,ks"
2020-01-01 02:00:00,12,0,0.0,9.8,3,37,01:01 PM,No moonset,08:49 AM,06:24 PM,-6,-3,1,-3,32,0,63,0.0,1015,1,10,209,15,"gardencity,ks"
2020-01-01 03:00:00,12,0,0.0,9.8,3,37,01:01 PM,No moonset,08:49 AM,06:24 PM,-6,-4,0,-4,33,0,65,0.0,1014,0,10,206,16,"gardencity,ks"
2020-01-01 04:00:00,12,0,0.0,9.8,3,37,01:01 PM,No moonset,08:49 AM,06:24 PM,-5,-5,0,-5,35,0,67,0.0,1013,0,10,203,16,"gardencity,ks"
2020-01-01 05:00:00,12,0,0.0,9.8,3,37,01:01 PM,No moonset,08:49 AM,06:24 PM,-5,-5,0,-5,36,0,68,0.0,1012,0,10,200,17,"gardencity,ks"
2020-01-01 06:00:00,12,0,0.0,9.8,3,37,01:01 PM,No moonset,08:49 AM,06:24 PM,-5,-5,0,-5,37,0,70,0.0,1011,0,10,198,18,"gardencity,ks"
2020-01-01 07:00:00,12,0,0.0,9.8,3,37,01:01 PM,No moonset,08:49 AM,06:24 PM,-4,-4,1,-4,38,0,69,0.0,1010,1,10,197,19,"gardencity,ks"
2020-01-01 08:00:00,12,0,0.0,9.8,3,37,01:01 PM,No moonset,08:49 AM,06:24 PM,-4,-3,1,-3,39,0,68,0.0,1009,1,10,196,21,"gardencity,ks"
2020-01-01 09:00:00,12,0,0.0,9.8,3,37,01:01 PM,No moonset,08:49 AM,06:24 PM,-4,-3,2,-3,39,0,67,0.0,1009,2,10,195,22,"gardencity,ks"
2020-01-01 10:00:00,12,0,0.0,9.8,3,37,01:01 PM,No moonset,08:49 AM,06:24 PM,-2,-1,4,-1,38,0,64,0.0,1008,4,10,198,24,"gardencity,ks"
2020-01-01 11:00:00,12,0,0.0,9.8,3,37,01:01 PM,No moonset,08:49 AM,06:24 PM,-1,1,6,1,37,0,61,0.0,1007,6,10,201,26,"gardencity,ks"
2020-01-01 12:00:00,12,0,0.0,9.8,3,37,01:01 PM,No moonset,08:49 AM,06:24 PM,-0,3,7,3,36,0,58,0.0,1006,7,10,204,28,"gardencity,ks"
2020-01-01 13:00:00,12,0,0.0,9.8,3,37,01:01 PM,No moonset,08:49 AM,06:24 PM,0,5,9,5,37,1,57,0.0,1004,9,10,205,29,"gardencity,ks"
