date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,17,10,0.0,10.1,4,37,12:48 PM,No moonset,08:23 AM,06:37 PM,3,12,13,12,20,1,50,0.0,1018,13,10,281,13,"jacksonville,fl"
2020-01-01 01:00:00,17,10,0.0,10.1,4,37,12:48 PM,No moonset,08:23 AM,06:37 PM,3,12,13,12,21,1,51,0.0,1018,13,10,285,13,"jacksonville,fl"
2020-01-01 02:00:00,17,10,0.0,10.1,4,37,12:48 PM,No moonset,08:23 AM,06:37 PM,3,11,13,11,22,1,52,0.0,1018,13,10,288,14,"jacksonville,fl"
2020-01-01 03:00:00,17,10,0.0,10.1,4,37,12:48 PM,No moonset,08:23 AM,06:37 PM,3,11,12,11,23,2,52,0.0,1018,12,10,292,15,"jacksonville,fl"
2020-01-01 04:00:00,17,10,0.0,10.1,4,37,12:48 PM,No moonset,08:23 AM,06:37 PM,3,10,12,10,22,2,53,0.0,1018,12,10,296,14,"jacksonville,fl"
2020-01-01 05:00:00,17,10,0.0,10.1,4,37,12:48 PM,No moonset,08:23 AM,06:37 PM,3,10,11,10,21,2,54,0.0,1018,11,10,300,14,"jacksonville,fl"
2020-01-01 06:00:00,17,10,0.0,10.1,4,37,12:48 PM,No moonset,08:23 AM,06:37 PM,3,9,11,9,21,2,56,0.0,1018,11,10,304,13,"jacksonville,fl"
2020-01-01 07:00:00,17,10,0.0,10.1,4,37,12:48 PM,No moonset,08:23 AM,06:37 PM,2,9,11,9,19,4,55,0.0,1019,11,10,310,13,"jacksonville,fl"
2020-01-01 08:00:00,17,10,0.0,10.1,4,37,12:48 PM,No moonset,08:23 AM,06:37 PM,2,10,11,10,18,5,54,0.0,1019,11,10,316,12,"jacksonville,fl"
2020-01-01 09:00:00,17,10,0.0,10.1,4,37,12:48 PM,No moonset,08:23 AM,06:37 PM,2,10,11,10,17,6,53,0.0,1019,11,10,322,12,"jacksonville,fl"
2020-01-01 10:00:00,17,10,0.0,10.1,4,37,12:48 PM,No moonset,08:23 AM,06:37 PM,1,11,12,11,15,8,49,0.0,1020,12,10,322,11,"jacksonville,fl"
2020-01-01 11:00:00,17,10,0.0,10.1,4,37,12:48 PM,No moonset,08:23 AM,06:37 PM,1,12,13,12,12,9,45,0.0,1020,13,10,322,9,"jacksonville,fl"
2020-01-01 12:00:00,17,10,0.0,10.1,4,37,12:48 PM,No moonset,08:23 AM,06:37 PM,1,13,14,13,10,10,41,0.0,1020,14,10,323,8,"jacksonville,fl"
2020-01-01 13:00:00,17,10,0.0,10.1,4,37,12:48 PM,No moonset,08:23 AM,06:37 PM,0,14,15,14,8,16,38,0.0,1019,15,10,306,7,"jacksonville,fl"
2020-01-01 14:00:00,17,10,0.0,10.1,4,37,12:48 PM,No moonset,08:23 AM,06:37 PM,0,15,16,15,7,22,35,0.0,1019,16,10,289,6,"jacksonville,fl"
2020-01-01 15:00:00,17,10,0.0,10.1,4,37,12:48 PM,No moonset,08:23 AM,06:37 PM,-0,17,17,17,5,27,32,0.0,1018,17,10,272,5,"jacksonville,fl"
2020-01-01 16:00:00,17,10,0.0,10.1,4,37,12:48 PM,No moonset,08:23 AM,06:37 PM,0,17,17,17,5,28,33,0.0,1018,17,10,234,4,"jacksonville,fl"
2020-01-01 17:00:00,17,10,0.0,10.1,4,37,12:48 PM,No moonset,08:23 AM,06:37 PM,1,17,17,17,5,29,34,0.0,1018,17,10,197,4,"jacksonville,fl"
2020-01-01 18:00:00,17,10,0.0,10.1,4,37,12:48 PM,No moonset,08:23 AM,06:37 PM,1,17,17,17,5,30,35,0.0,1018,17,10,159,3,"jacksonville,fl"
2020-01-01 19:00:00,17,10,0.0,10.1,4,37,12:48 PM,No moonset,08:23 AM,06:37 PM,1,16,16,16,6,24,37,0.0,1018,16,10,162,4,"jacksonville,fl"
