date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-12,-15,-7,-15,56,21,66,0.0,1015,-7,10,242,27,"laramie,wy"
2020-01-01 01:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-11,-14,-6,-14,57,17,68,0.0,1014,-6,10,237,28,"laramie,wy"
2020-01-01 02:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-10,-14,-6,-14,58,14,71,0.0,1013,-6,10,233,28,"laramie,wy"
2020-01-01 03:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-10,-14,-6,-14,59,10,73,0.0,1012,-6,10,228,29,"laramie,wy"
2020-01-01 04:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-9,-13,-5,-13,58,23,74,0.0,1011,-5,10,230,30,"laramie,wy"
2020-01-01 05:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-8,-12,-4,-12,57,35,74,0.0,1010,-4,10,232,30,"laramie,wy"
2020-01-01 06:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-8,-11,-4,-11,55,48,75,0.0,1009,-4,10,234,31,"laramie,wy"
2020-01-01 07:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-7,-11,-3,-11,56,46,76,0.0,1008,-3,7,237,32,"laramie,wy"
2020-01-01 08:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-6,-11,-3,-11,57,45,77,0.0,1007,-3,5,241,33,"laramie,wy"
2020-01-01 09:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-6,-10,-3,-10,57,43,78,0.0,1006,-3,2,244,35,"laramie,wy"
2020-01-01 10:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-6,-10,-3,-10,57,59,78,0.0,1005,-3,5,245,35,"laramie,wy"
2020-01-01 11:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-6,-10,-2,-10,57,74,78,0.0,1005,-2,7,246,35,"laramie,wy"
2020-01-01 12:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-6,-10,-2,-10,57,89,78,0.0,1004,-2,10,247,35,"laramie,wy"
2020-01-01 13:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-5,-10,-2,-10,56,85,79,0.0,1003,-2,7,249,35,"laramie,wy"
2020-01-01 14:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-5,-10,-2,-10,55,81,79,0.0,1001,-2,5,252,35,"laramie,wy"
2020-01-01 15:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-5,-10,-2,-10,54,78,80,0.0,999,-2,2,254,35,"laramie,wy"
2020-01-01 16:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-6,-11,-3,-11,57,57,79,0.0,999,-3,5,261,34,"laramie,wy"
2020-01-01 17:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-7,-12,-4,-12,60,36,77,0.0,999,-4,7,269,33,"laramie,wy"
2020-01-01 18:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-8,-13,-5,-13,63,15,75,0.0,1000,-5,10,276,33,"laramie,wy"
2020-01-01 19:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-8,-13,-5,-13,57,28,77,0.0,1000,-5,10,268,29,"laramie,wy"
2020-01-01 20:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-8,-13,-5,-13,50,41,80,0.0,1000,-5,10,259,25,"laramie,wy"
2020-01-01 21:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-8,-13,-6,-13,43,54,82,0.0,1001,-6,10,251,21,"laramie,wy"
2020-01-01 22:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-8,-13,-6,-13,41,50,83,0.0,1002,-6,10,256,21,"laramie,wy"
2020-01-01 23:00:00,-2,-7,0.0,5.2,2,37,12:34 PM,No moonset,08:28 AM,05:44 PM,-8,-13,-6,-13,39,45,84,0.0,1002,-6,10,262,21,"laramie,wy"
2020-01-02 00:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-8,-14,-6,-14,37,41,86,0.0,1003,-6,10,268,21,"laramie,wy"
2020-01-02 01:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-9,-14,-7,-14,34,53,85,0.0,1004,-7,8,264,19,"laramie,wy"
2020-01-02 02:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-9,-14,-7,-14,32,66,85,0.1,1005,-7,7,261,17,"laramie,wy"
2020-01-02 03:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-10,-14,-8,-14,29,78,85,0.2,1007,-8,5,258,15,"laramie,wy"
2020-01-02 04:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-10,-15,-8,-15,32,75,83,0.1,1008,-8,5,257,16,"laramie,wy"
2020-01-02 05:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-11,-16,-9,-16,34,73,82,0.1,1009,-9,5,256,17,"laramie,wy"
2020-01-02 06:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-12,-16,-9,-16,37,70,80,0.2,1010,-9,5,256,18,"laramie,wy"
2020-01-02 07:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-12,-17,-10,-17,36,54,81,0.1,1011,-10,7,259,17,"laramie,wy"
2020-01-02 08:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-13,-17,-10,-17,36,38,82,0.0,1012,-10,8,263,17,"laramie,wy"
2020-01-02 09:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-13,-18,-11,-18,35,22,83,0.0,1013,-11,10,266,17,"laramie,wy"
2020-01-02 10:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-12,-16,-9,-16,33,20,82,0.0,1013,-9,10,256,17,"laramie,wy"
2020-01-02 11:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-11,-15,-8,-15,32,18,82,0.0,1013,-8,10,245,18,"laramie,wy"
2020-01-02 12:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-10,-14,-7,-14,30,16,81,0.0,1013,-7,10,235,18,"laramie,wy"
2020-01-02 13:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-9,-13,-6,-13,33,15,80,0.0,1012,-6,10,246,20,"laramie,wy"
2020-01-02 14:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-9,-13,-6,-13,35,15,79,0.0,1011,-6,10,257,22,"laramie,wy"
2020-01-02 15:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-9,-13,-5,-13,37,14,78,0.0,1010,-5,10,269,24,"laramie,wy"
2020-01-02 16:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-10,-14,-7,-14,43,16,77,0.0,1012,-7,10,267,24,"laramie,wy"
2020-01-02 17:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-12,-16,-8,-16,48,17,77,0.0,1013,-8,10,265,25,"laramie,wy"
2020-01-02 18:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-13,-18,-10,-18,53,19,76,0.0,1014,-10,10,263,25,"laramie,wy"
2020-01-02 19:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-13,-16,-10,-16,54,20,78,0.0,1015,-10,10,262,26,"laramie,wy"
2020-01-02 20:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-12,-14,-10,-14,54,22,79,0.0,1016,-11,10,261,26,"laramie,wy"
2020-01-02 21:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-12,-12,-10,-12,55,23,81,0.0,1017,-12,10,261,27,"laramie,wy"
2020-01-02 22:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-12,-14,-9,-14,52,20,81,0.0,1018,-11,10,264,26,"laramie,wy"
2020-01-02 23:00:00,-5,-12,0.7,8.7,1,44,12:58 PM,12:13 AM,08:28 AM,05:45 PM,-12,-15,-9,-15,50,18,81,0.0,1019,-10,10,268,25,"laramie,wy"
2020-01-03 00:00:00,-3,-10,0.0,8.7,2,51,01:22 PM,01:12 AM,08:28 AM,05:46 PM,-12,-17,-9,-17,47,15,82,0.0,1021,-9,10,272,24,"laramie,wy"
2020-01-03 01:00:00,-3,-10,0.0,8.7,2,51,01:22 PM,01:12 AM,08:28 AM,05:46 PM,-12,-18,-9,-18,45,15,81,0.0,1021,-9,10,270,23,"laramie,wy"
2020-01-03 02:00:00,-3,-10,0.0,8.7,2,51,01:22 PM,01:12 AM,08:28 AM,05:46 PM,-12,-18,-10,-18,44,15,81,0.0,1022,-10,10,268,22,"laramie,wy"
2020-01-03 03:00:00,-3,-10,0.0,8.7,2,51,01:22 PM,01:12 AM,08:28 AM,05:46 PM,-13,-18,-10,-18,43,15,81,0.0,1023,-10,10,266,21,"laramie,wy"
2020-01-03 04:00:00,-3,-10,0.0,8.7,2,51,01:22 PM,01:12 AM,08:28 AM,05:46 PM,-13,-18,-10,-18,45,14,80,0.0,1023,-10,10,263,22,"laramie,wy"
2020-01-03 05:00:00,-3,-10,0.0,8.7,2,51,01:22 PM,01:12 AM,08:28 AM,05:46 PM,-13,-18,-10,-18,47,14,79,0.0,1024,-10,10,260,23,"laramie,wy"
2020-01-03 06:00:00,-3,-10,0.0,8.7,2,51,01:22 PM,01:12 AM,08:28 AM,05:46 PM,-13,-18,-10,-18,49,14,78,0.0,1024,-10,10,258,24,"laramie,wy"
2020-01-03 07:00:00,-3,-10,0.0,8.7,2,51,01:22 PM,01:12 AM,08:28 AM,05:46 PM,-13,-18,-9,-18,50,12,77,0.0,1024,-9,10,256,25,"laramie,wy"
2020-01-03 08:00:00,-3,-10,0.0,8.7,2,51,01:22 PM,01:12 AM,08:28 AM,05:46 PM,-12,-17,-9,-17,50,11,77,0.0,1024,-9,10,254,25,"laramie,wy"
2020-01-03 09:00:00,-3,-10,0.0,8.7,2,51,01:22 PM,01:12 AM,08:28 AM,05:46 PM,-12,-17,-9,-17,50,10,76,0.0,1024,-9,10,252,26,"laramie,wy"
2020-01-03 10:00:00,-3,-10,0.0,8.7,2,51,01:22 PM,01:12 AM,08:28 AM,05:46 PM,-11,-16,-7,-16,50,11,76,0.0,1024,-7,10,255,29,"laramie,wy"
