date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,6,-5,0.3,9.8,2,37,01:06 PM,No moonset,08:51 AM,06:29 PM,-8,-7,-5,-7,13,12,74,0.0,1024,-5,10,49,6,"lasvegas,nv"
2020-01-01 01:00:00,6,-5,0.3,9.8,2,37,01:06 PM,No moonset,08:51 AM,06:29 PM,-8,-7,-4,-7,13,11,74,0.0,1023,-4,10,75,6,"lasvegas,nv"
2020-01-01 02:00:00,6,-5,0.3,9.8,2,37,01:06 PM,No moonset,08:51 AM,06:29 PM,-8,-7,-4,-7,12,11,73,0.0,1023,-4,10,101,6,"lasvegas,nv"
2020-01-01 03:00:00,6,-5,0.3,9.8,2,37,01:06 PM,No moonset,08:51 AM,06:29 PM,-9,-7,-4,-7,12,11,72,0.0,1022,-4,10,128,5,"lasvegas,nv"
2020-01-01 04:00:00,6,-5,0.3,9.8,2,37,01:06 PM,No moonset,08:51 AM,06:29 PM,-9,-6,-4,-6,11,13,71,0.0,1022,-4,10,201,5,"lasvegas,nv"
2020-01-01 05:00:00,6,-5,0.3,9.8,2,37,01:06 PM,No moonset,08:51 AM,06:29 PM,-9,-6,-4,-6,11,15,70,0.0,1021,-4,10,274,5,"lasvegas,nv"
2020-01-01 06:00:00,6,-5,0.3,9.8,2,37,01:06 PM,No moonset,08:51 AM,06:29 PM,-9,-6,-4,-6,11,17,69,0.0,1021,-4,10,348,5,"lasvegas,nv"
2020-01-01 07:00:00,6,-5,0.3,9.8,2,37,01:06 PM,No moonset,08:51 AM,06:29 PM,-8,-5,-3,-5,11,16,67,0.0,1020,-3,10,338,6,"lasvegas,nv"
2020-01-01 08:00:00,6,-5,0.3,9.8,2,37,01:06 PM,No moonset,08:51 AM,06:29 PM,-8,-4,-2,-4,11,15,66,0.0,1020,-2,10,328,6,"lasvegas,nv"
2020-01-01 09:00:00,6,-5,0.3,9.8,2,37,01:06 PM,No moonset,08:51 AM,06:29 PM,-8,-4,-2,-4,11,13,64,0.0,1019,-2,10,319,6,"lasvegas,nv"
2020-01-01 10:00:00,6,-5,0.3,9.8,2,37,01:06 PM,No moonset,08:51 AM,06:29 PM,-6,-1,0,-1,9,16,61,0.0,1018,0,10,302,6,"lasvegas,nv"
2020-01-01 11:00:00,6,-5,0.3,9.8,2,37,01:06 PM,No moonset,08:51 AM,06:29 PM,-5,1,2,1,7,19,58,0.0,1017,2,10,286,5,"lasvegas,nv"
