date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,2,-3,-0,-3,39,76,86,0.1,1007,-2,8,192,22,"lewiston,id"
2020-01-01 01:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,3,-1,2,-1,37,77,86,0.0,1007,1,7,200,22,"lewiston,id"
2020-01-01 02:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,3,1,4,1,36,79,86,0.1,1006,4,5,207,21,"lewiston,id"
2020-01-01 03:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,4,2,6,2,34,80,86,0.1,1005,6,4,214,21,"lewiston,id"
2020-01-01 04:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,4,3,6,3,34,83,85,0.1,1005,6,4,221,21,"lewiston,id"
2020-01-01 05:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,4,3,7,3,33,86,84,0.3,1005,7,4,228,21,"lewiston,id"
2020-01-01 06:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,5,4,7,4,33,89,84,0.4,1004,7,5,235,21,"lewiston,id"
2020-01-01 07:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,4,3,7,3,32,81,82,0.2,1004,7,6,238,21,"lewiston,id"
2020-01-01 08:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,4,3,7,3,32,73,81,0.5,1004,7,8,241,21,"lewiston,id"
2020-01-01 09:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,4,3,7,3,32,65,79,0.7,1004,7,10,243,22,"lewiston,id"
2020-01-01 10:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,3,4,7,4,31,63,77,0.4,1005,7,10,246,23,"lewiston,id"
2020-01-01 11:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,3,4,7,4,31,62,75,0.2,1005,7,10,248,24,"lewiston,id"
2020-01-01 12:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,3,4,8,4,30,60,73,0.3,1006,8,10,251,25,"lewiston,id"
2020-01-01 13:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,3,4,8,4,32,55,70,0.2,1006,8,10,253,26,"lewiston,id"
2020-01-01 14:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,2,4,8,4,34,51,67,0.1,1006,8,10,255,28,"lewiston,id"
2020-01-01 15:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,1,4,8,4,36,46,64,0.1,1007,8,10,258,29,"lewiston,id"
2020-01-01 16:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,1,3,7,3,32,36,66,0.1,1007,7,10,249,25,"lewiston,id"
2020-01-01 17:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,1,3,6,3,29,25,68,0.0,1008,6,10,241,21,"lewiston,id"
2020-01-01 18:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,1,2,6,2,26,15,71,0.0,1009,6,10,233,18,"lewiston,id"
2020-01-01 19:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,1,2,5,2,24,18,73,0.0,1010,5,10,221,16,"lewiston,id"
2020-01-01 20:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,1,1,5,1,23,20,76,0.0,1010,5,10,209,15,"lewiston,id"
2020-01-01 21:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,1,1,4,1,22,22,78,0.0,1011,4,10,196,14,"lewiston,id"
2020-01-01 22:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,1,1,4,1,22,26,80,0.0,1011,4,10,195,14,"lewiston,id"
2020-01-01 23:00:00,8,4,0.0,6.9,2,37,12:25 PM,11:58 PM,08:31 AM,05:12 PM,1,1,4,1,22,31,81,0.0,1012,4,10,193,14,"lewiston,id"
2020-01-02 00:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,1,0,4,0,22,35,83,0.0,1012,4,10,192,15,"lewiston,id"
2020-01-02 01:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,1,0,4,0,22,39,83,0.0,1012,4,10,198,15,"lewiston,id"
2020-01-02 02:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,1,0,4,0,22,43,84,0.0,1012,4,10,204,15,"lewiston,id"
2020-01-02 03:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,1,0,4,0,21,47,85,0.0,1012,4,10,210,14,"lewiston,id"
2020-01-02 04:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,1,-0,4,-0,22,48,82,0.0,1013,4,10,219,15,"lewiston,id"
2020-01-02 05:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,0,-0,3,-0,22,50,79,0.0,1014,3,10,229,15,"lewiston,id"
2020-01-02 06:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,-1,-1,3,-1,23,52,76,0.0,1014,3,10,239,15,"lewiston,id"
2020-01-02 07:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,-1,-0,3,-0,21,47,74,0.0,1015,3,10,236,15,"lewiston,id"
2020-01-02 08:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,-1,-0,3,-0,20,41,71,0.0,1016,3,10,233,14,"lewiston,id"
2020-01-02 09:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,-2,-0,3,-0,18,36,69,0.0,1016,3,10,230,14,"lewiston,id"
2020-01-02 10:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,-2,0,4,0,17,45,67,0.0,1017,4,10,229,14,"lewiston,id"
2020-01-02 11:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,-2,1,4,1,16,54,66,0.0,1017,4,10,227,13,"lewiston,id"
2020-01-02 12:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,-2,2,5,2,15,63,64,0.0,1018,5,10,226,13,"lewiston,id"
2020-01-02 13:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,-1,2,5,2,15,73,64,0.0,1018,5,10,223,13,"lewiston,id"
2020-01-02 14:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,-1,2,5,2,15,83,65,0.0,1018,5,10,221,13,"lewiston,id"
2020-01-02 15:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,-1,2,5,2,15,92,66,0.0,1018,5,10,219,13,"lewiston,id"
2020-01-02 16:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,-0,2,5,2,14,95,71,0.0,1019,5,10,209,12,"lewiston,id"
2020-01-02 17:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,0,2,4,2,13,97,76,0.1,1020,4,10,199,10,"lewiston,id"
2020-01-02 18:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,1,1,4,1,12,100,82,0.2,1020,4,10,190,9,"lewiston,id"
2020-01-02 19:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,1,1,3,1,11,96,86,0.1,1020,3,9,180,9,"lewiston,id"
2020-01-02 20:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,1,1,3,1,10,91,90,0.3,1021,3,8,171,8,"lewiston,id"
2020-01-02 21:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,2,1,3,1,9,87,93,0.4,1021,3,8,161,8,"lewiston,id"
2020-01-02 22:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,2,1,3,1,10,81,92,0.2,1021,3,7,158,8,"lewiston,id"
2020-01-02 23:00:00,6,3,0.0,5.1,2,44,12:45 PM,No moonset,08:31 AM,05:13 PM,2,0,3,0,11,74,91,0.2,1021,3,6,154,9,"lewiston,id"
2020-01-03 00:00:00,9,3,0.0,6.9,2,51,01:06 PM,12:59 AM,08:31 AM,05:14 PM,1,0,3,0,12,68,90,0.3,1021,3,5,151,9,"lewiston,id"
2020-01-03 01:00:00,9,3,0.0,6.9,2,51,01:06 PM,12:59 AM,08:31 AM,05:14 PM,1,0,3,0,13,72,89,0.1,1021,3,6,152,10,"lewiston,id"
2020-01-03 02:00:00,9,3,0.0,6.9,2,51,01:06 PM,12:59 AM,08:31 AM,05:14 PM,1,0,3,0,15,76,87,0.1,1020,3,6,153,11,"lewiston,id"
2020-01-03 03:00:00,9,3,0.0,6.9,2,51,01:06 PM,12:59 AM,08:31 AM,05:14 PM,1,0,3,0,17,80,86,0.1,1020,3,7,155,12,"lewiston,id"
2020-01-03 04:00:00,9,3,0.0,6.9,2,51,01:06 PM,12:59 AM,08:31 AM,05:14 PM,1,0,3,0,18,80,84,0.0,1020,3,8,155,12,"lewiston,id"
2020-01-03 05:00:00,9,3,0.0,6.9,2,51,01:06 PM,12:59 AM,08:31 AM,05:14 PM,0,-0,3,-0,19,81,82,0.0,1020,3,9,155,12,"lewiston,id"
