date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,11,-0,0.0,9.8,3,37,01:12 PM,No moonset,08:57 AM,06:37 PM,-9,-4,1,-4,36,0,49,0.0,1015,1,10,215,17,"liberal,ks"
2020-01-01 01:00:00,11,-0,0.0,9.8,3,37,01:12 PM,No moonset,08:57 AM,06:37 PM,-8,-4,1,-4,36,0,51,0.0,1014,1,10,213,17,"liberal,ks"
2020-01-01 02:00:00,11,-0,0.0,9.8,3,37,01:12 PM,No moonset,08:57 AM,06:37 PM,-8,-4,1,-4,37,0,52,0.0,1013,1,10,211,18,"liberal,ks"
2020-01-01 03:00:00,11,-0,0.0,9.8,3,37,01:12 PM,No moonset,08:57 AM,06:37 PM,-8,-4,0,-4,38,0,54,0.0,1012,0,10,209,18,"liberal,ks"
2020-01-01 04:00:00,11,-0,0.0,9.8,3,37,01:12 PM,No moonset,08:57 AM,06:37 PM,-8,-5,0,-5,37,0,56,0.0,1011,0,10,212,18,"liberal,ks"
2020-01-01 05:00:00,11,-0,0.0,9.8,3,37,01:12 PM,No moonset,08:57 AM,06:37 PM,-7,-5,0,-5,36,0,57,0.0,1010,0,10,214,17,"liberal,ks"
2020-01-01 06:00:00,11,-0,0.0,9.8,3,37,01:12 PM,No moonset,08:57 AM,06:37 PM,-7,-5,0,-5,35,0,59,0.0,1009,0,10,216,17,"liberal,ks"
2020-01-01 07:00:00,11,-0,0.0,9.8,3,37,01:12 PM,No moonset,08:57 AM,06:37 PM,-7,-4,0,-4,34,0,59,0.0,1008,0,10,217,17,"liberal,ks"
2020-01-01 08:00:00,11,-0,0.0,9.8,3,37,01:12 PM,No moonset,08:57 AM,06:37 PM,-7,-4,0,-4,33,0,59,0.0,1007,0,10,217,17,"liberal,ks"
2020-01-01 09:00:00,11,-0,0.0,9.8,3,37,01:12 PM,No moonset,08:57 AM,06:37 PM,-7,-4,1,-4,32,0,59,0.0,1007,1,10,218,17,"liberal,ks"
