date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,9,0,0.0,8.7,3,37,12:21 PM,No moonset,08:08 AM,05:48 PM,-1,-0,3,-0,24,8,79,0.0,1017,3,10,249,12,"paducah,ky"
2020-01-01 01:00:00,9,0,0.0,8.7,3,37,12:21 PM,No moonset,08:08 AM,05:48 PM,-1,-1,2,-1,24,7,77,0.0,1017,2,10,250,12,"paducah,ky"
2020-01-01 02:00:00,9,0,0.0,8.7,3,37,12:21 PM,No moonset,08:08 AM,05:48 PM,-2,-1,2,-1,24,7,75,0.0,1017,2,10,251,12,"paducah,ky"
2020-01-01 03:00:00,9,0,0.0,8.7,3,37,12:21 PM,No moonset,08:08 AM,05:48 PM,-3,-2,2,-2,24,6,73,0.0,1017,2,10,252,12,"paducah,ky"
2020-01-01 04:00:00,9,0,0.0,8.7,3,37,12:21 PM,No moonset,08:08 AM,05:48 PM,-3,-2,1,-2,23,5,75,0.0,1017,1,10,251,11,"paducah,ky"
2020-01-01 05:00:00,9,0,0.0,8.7,3,37,12:21 PM,No moonset,08:08 AM,05:48 PM,-2,-2,1,-2,22,4,78,0.0,1017,1,10,249,11,"paducah,ky"
2020-01-01 06:00:00,9,0,0.0,8.7,3,37,12:21 PM,No moonset,08:08 AM,05:48 PM,-2,-3,1,-3,21,3,80,0.0,1017,1,10,247,10,"paducah,ky"
2020-01-01 07:00:00,9,0,0.0,8.7,3,37,12:21 PM,No moonset,08:08 AM,05:48 PM,-2,-2,1,-2,20,2,80,0.0,1017,1,10,242,10,"paducah,ky"
2020-01-01 08:00:00,9,0,0.0,8.7,3,37,12:21 PM,No moonset,08:08 AM,05:48 PM,-2,-2,1,-2,19,1,79,0.0,1017,1,10,237,10,"paducah,ky"
2020-01-01 09:00:00,9,0,0.0,8.7,3,37,12:21 PM,No moonset,08:08 AM,05:48 PM,-2,-2,1,-2,18,0,79,0.0,1017,1,10,232,10,"paducah,ky"
2020-01-01 10:00:00,9,0,0.0,8.7,3,37,12:21 PM,No moonset,08:08 AM,05:48 PM,-2,-1,2,-1,19,0,75,0.0,1017,2,10,227,12,"paducah,ky"
2020-01-01 11:00:00,9,0,0.0,8.7,3,37,12:21 PM,No moonset,08:08 AM,05:48 PM,-1,0,4,0,19,0,70,0.0,1017,4,10,222,13,"paducah,ky"
2020-01-01 12:00:00,9,0,0.0,8.7,3,37,12:21 PM,No moonset,08:08 AM,05:48 PM,-1,2,5,2,19,0,66,0.0,1017,5,10,216,15,"paducah,ky"
