date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,3,-1,0.0,8.7,2,37,12:12 PM,11:45 PM,08:14 AM,05:15 PM,-2,-4,-0,-4,20,73,86,0.0,999,-0,10,243,13,"portland,me"
2020-01-01 01:00:00,3,-1,0.0,8.7,2,37,12:12 PM,11:45 PM,08:14 AM,05:15 PM,-2,-4,0,-4,25,53,84,0.0,999,0,10,247,16,"portland,me"
2020-01-01 02:00:00,3,-1,0.0,8.7,2,37,12:12 PM,11:45 PM,08:14 AM,05:15 PM,-2,-4,1,-4,31,33,82,0.0,999,1,10,251,20,"portland,me"
2020-01-01 03:00:00,3,-1,0.0,8.7,2,37,12:12 PM,11:45 PM,08:14 AM,05:15 PM,-2,-5,1,-5,36,14,81,0.0,999,1,10,255,24,"portland,me"
2020-01-01 04:00:00,3,-1,0.0,8.7,2,37,12:12 PM,11:45 PM,08:14 AM,05:15 PM,-3,-5,1,-5,37,11,78,0.0,999,1,10,257,25,"portland,me"
2020-01-01 05:00:00,3,-1,0.0,8.7,2,37,12:12 PM,11:45 PM,08:14 AM,05:15 PM,-4,-6,0,-6,37,8,75,0.0,999,0,10,259,26,"portland,me"
2020-01-01 06:00:00,3,-1,0.0,8.7,2,37,12:12 PM,11:45 PM,08:14 AM,05:15 PM,-4,-6,-0,-6,38,5,73,0.0,999,-0,10,261,26,"portland,me"
2020-01-01 07:00:00,3,-1,0.0,8.7,2,37,12:12 PM,11:45 PM,08:14 AM,05:15 PM,-4,-6,0,-6,36,7,72,0.0,999,0,10,263,25,"portland,me"
2020-01-01 08:00:00,3,-1,0.0,8.7,2,37,12:12 PM,11:45 PM,08:14 AM,05:15 PM,-4,-6,0,-6,34,9,72,0.0,999,0,10,265,25,"portland,me"
2020-01-01 09:00:00,3,-1,0.0,8.7,2,37,12:12 PM,11:45 PM,08:14 AM,05:15 PM,-4,-6,0,-6,32,11,71,0.0,999,0,10,267,24,"portland,me"
2020-01-01 10:00:00,3,-1,0.0,8.7,2,37,12:12 PM,11:45 PM,08:14 AM,05:15 PM,-4,-5,1,-5,32,21,70,0.0,999,1,10,268,24,"portland,me"
2020-01-01 11:00:00,3,-1,0.0,8.7,2,37,12:12 PM,11:45 PM,08:14 AM,05:15 PM,-4,-4,1,-4,31,31,68,0.0,999,1,10,268,24,"portland,me"
2020-01-01 12:00:00,3,-1,0.0,8.7,2,37,12:12 PM,11:45 PM,08:14 AM,05:15 PM,-4,-3,2,-3,30,42,66,0.0,999,2,10,268,24,"portland,me"
2020-01-01 13:00:00,3,-1,0.0,8.7,2,37,12:12 PM,11:45 PM,08:14 AM,05:15 PM,-3,-3,2,-3,31,47,66,0.0,999,2,10,269,24,"portland,me"
2020-01-01 14:00:00,3,-1,0.0,8.7,2,37,12:12 PM,11:45 PM,08:14 AM,05:15 PM,-3,-2,3,-2,32,53,66,0.0,999,3,10,270,24,"portland,me"
2020-01-01 15:00:00,3,-1,0.0,8.7,2,37,12:12 PM,11:45 PM,08:14 AM,05:15 PM,-3,-2,3,-2,33,59,66,0.0,999,3,10,271,24,"portland,me"
