date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-6,-8,-2,-8,38,85,73,0.1,1003,-2,7,261,27,"rochester,ny"
2020-01-01 01:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-6,-8,-2,-8,38,81,73,0.0,1003,-2,7,261,26,"rochester,ny"
2020-01-01 02:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-6,-9,-2,-9,38,76,72,0.0,1003,-2,8,261,26,"rochester,ny"
2020-01-01 03:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-7,-9,-2,-9,37,72,71,0.0,1004,-2,8,261,26,"rochester,ny"
2020-01-01 04:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-7,-9,-2,-9,37,67,72,0.0,1004,-2,9,262,26,"rochester,ny"
2020-01-01 05:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-7,-9,-3,-9,37,63,73,0.0,1004,-3,9,262,25,"rochester,ny"
2020-01-01 06:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-7,-9,-3,-9,36,59,74,0.0,1004,-3,10,263,25,"rochester,ny"
2020-01-01 07:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-7,-9,-2,-9,36,62,73,0.0,1005,-2,10,263,25,"rochester,ny"
2020-01-01 08:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-7,-9,-2,-9,36,65,72,0.0,1005,-2,10,263,26,"rochester,ny"
2020-01-01 09:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-7,-9,-2,-9,36,68,71,0.0,1005,-2,10,264,26,"rochester,ny"
2020-01-01 10:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-6,-8,-1,-8,35,69,69,0.0,1006,-1,10,265,27,"rochester,ny"
2020-01-01 11:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-6,-7,-1,-7,34,70,67,0.0,1006,-1,10,266,27,"rochester,ny"
2020-01-01 12:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-6,-7,-0,-7,33,71,64,0.0,1006,-0,10,267,28,"rochester,ny"
2020-01-01 13:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-6,-7,-0,-7,33,70,65,0.0,1006,-0,10,267,28,"rochester,ny"
2020-01-01 14:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-6,-6,-0,-6,33,68,66,0.0,1007,-0,10,267,27,"rochester,ny"
2020-01-01 15:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-6,-6,-0,-6,33,67,67,0.0,1007,-0,10,267,27,"rochester,ny"
2020-01-01 16:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-5,-7,-1,-7,33,71,70,0.0,1007,-1,10,265,26,"rochester,ny"
2020-01-01 17:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-5,-7,-1,-7,32,76,72,0.0,1008,-1,10,264,24,"rochester,ny"
2020-01-01 18:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-5,-7,-2,-7,32,80,75,0.0,1008,-2,10,262,23,"rochester,ny"
2020-01-01 19:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-5,-7,-2,-7,30,74,76,0.0,1008,-2,10,257,20,"rochester,ny"
2020-01-01 20:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-5,-6,-2,-6,27,69,78,0.0,1009,-2,10,253,18,"rochester,ny"
2020-01-01 21:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-5,-6,-2,-6,25,63,80,0.0,1009,-3,10,248,15,"rochester,ny"
2020-01-01 22:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-5,-5,-2,-5,25,50,79,0.0,1010,-3,10,242,15,"rochester,ny"
2020-01-01 23:00:00,0,-4,0.1,3.4,1,37,12:42 PM,No moonset,08:42 AM,05:46 PM,-5,-5,-1,-5,25,37,78,0.0,1010,-3,10,237,15,"rochester,ny"
2020-01-02 00:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,-5,-4,-1,-4,24,25,77,0.0,1010,-3,10,232,14,"rochester,ny"
2020-01-02 01:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,-4,-4,-1,-4,26,38,76,0.0,1010,-2,10,230,15,"rochester,ny"
2020-01-02 02:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,-4,-4,-0,-4,27,51,75,0.0,1010,-1,10,229,15,"rochester,ny"
2020-01-02 03:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,-4,-4,0,-4,28,65,74,0.0,1010,0,10,228,16,"rochester,ny"
2020-01-02 04:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,-3,-4,1,-4,29,72,74,0.0,1010,1,10,225,16,"rochester,ny"
2020-01-02 05:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,-3,-3,1,-3,30,80,74,0.0,1009,1,10,223,17,"rochester,ny"
2020-01-02 06:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,-3,-3,1,-3,31,87,74,0.0,1009,1,10,220,17,"rochester,ny"
2020-01-02 07:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,-3,-3,2,-3,32,73,72,0.0,1009,2,10,220,18,"rochester,ny"
2020-01-02 08:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,-3,-2,2,-2,33,59,69,0.0,1009,2,10,220,19,"rochester,ny"
2020-01-02 09:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,-3,-2,3,-2,33,45,67,0.0,1009,3,10,220,20,"rochester,ny"
2020-01-02 10:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,-3,-1,4,-1,34,35,63,0.0,1009,4,10,221,21,"rochester,ny"
2020-01-02 11:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,-3,0,5,0,34,25,59,0.0,1009,5,10,222,23,"rochester,ny"
2020-01-02 12:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,-3,1,6,1,34,16,55,0.0,1009,6,10,223,24,"rochester,ny"
2020-01-02 13:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,-2,2,6,2,34,19,55,0.0,1008,6,10,223,24,"rochester,ny"
2020-01-02 14:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,-2,3,7,3,33,23,55,0.0,1008,7,10,223,23,"rochester,ny"
2020-01-02 15:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,-2,4,7,4,33,27,54,0.0,1007,7,10,224,23,"rochester,ny"
2020-01-02 16:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,-1,3,6,3,31,29,58,0.0,1007,6,10,223,20,"rochester,ny"
2020-01-02 17:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,-1,2,6,2,29,32,62,0.0,1007,6,10,222,17,"rochester,ny"
2020-01-02 18:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,-1,2,5,2,27,34,66,0.0,1007,5,10,222,14,"rochester,ny"
2020-01-02 19:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,-1,1,4,1,28,31,70,0.0,1007,4,10,223,15,"rochester,ny"
2020-01-02 20:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,-0,1,4,1,30,27,73,0.0,1007,3,10,223,15,"rochester,ny"
2020-01-02 21:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,0,-0,3,-0,31,24,76,0.0,1008,2,10,224,16,"rochester,ny"
2020-01-02 22:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,1,-0,4,-0,32,24,78,0.0,1008,2,10,226,17,"rochester,ny"
2020-01-02 23:00:00,8,-1,0.0,8.7,2,44,01:05 PM,12:15 AM,08:42 AM,05:47 PM,1,-0,4,-0,34,23,79,0.0,1008,1,10,228,18,"rochester,ny"
2020-01-03 00:00:00,8,4,0.0,3.4,3,51,01:27 PM,01:15 AM,08:42 AM,05:48 PM,2,0,4,0,35,22,81,0.0,1008,1,10,230,19,"rochester,ny"
2020-01-03 01:00:00,8,4,0.0,3.4,3,51,01:27 PM,01:15 AM,08:42 AM,05:48 PM,2,0,4,0,32,28,83,0.0,1007,2,10,230,17,"rochester,ny"
2020-01-03 02:00:00,8,4,0.0,3.4,3,51,01:27 PM,01:15 AM,08:42 AM,05:48 PM,2,1,4,1,29,35,84,0.0,1007,3,10,231,16,"rochester,ny"
2020-01-03 03:00:00,8,4,0.0,3.4,3,51,01:27 PM,01:15 AM,08:42 AM,05:48 PM,2,1,5,1,26,41,86,0.0,1007,5,10,231,14,"rochester,ny"
2020-01-03 04:00:00,8,4,0.0,3.4,3,51,01:27 PM,01:15 AM,08:42 AM,05:48 PM,3,1,4,1,25,46,88,0.0,1007,4,10,228,13,"rochester,ny"
2020-01-03 05:00:00,8,4,0.0,3.4,3,51,01:27 PM,01:15 AM,08:42 AM,05:48 PM,3,2,4,2,23,51,89,0.0,1007,4,10,225,12,"rochester,ny"
2020-01-03 06:00:00,8,4,0.0,3.4,3,51,01:27 PM,01:15 AM,08:42 AM,05:48 PM,3,2,4,2,22,56,91,0.0,1007,4,10,222,12,"rochester,ny"
2020-01-03 07:00:00,8,4,0.0,3.4,3,51,01:27 PM,01:15 AM,08:42 AM,05:48 PM,3,2,5,2,22,64,91,0.0,1007,5,10,219,12,"rochester,ny"
2020-01-03 08:00:00,8,4,0.0,3.4,3,51,01:27 PM,01:15 AM,08:42 AM,05:48 PM,4,2,5,2,22,72,91,0.0,1007,5,10,216,12,"rochester,ny"
2020-01-03 09:00:00,8,4,0.0,3.4,3,51,01:27 PM,01:15 AM,08:42 AM,05:48 PM,4,2,5,2,22,80,90,0.0,1008,5,10,213,13,"rochester,ny"
2020-01-03 10:00:00,8,4,0.0,3.4,3,51,01:27 PM,01:15 AM,08:42 AM,05:48 PM,4,3,6,3,21,80,89,0.0,1008,6,10,221,13,"rochester,ny"
2020-01-03 11:00:00,8,4,0.0,3.4,3,51,01:27 PM,01:15 AM,08:42 AM,05:48 PM,5,4,6,4,20,81,88,0.0,1008,6,10,228,13,"rochester,ny"
2020-01-03 12:00:00,8,4,0.0,3.4,3,51,01:27 PM,01:15 AM,08:42 AM,05:48 PM,5,4,7,4,19,81,86,0.0,1008,7,10,236,13,"rochester,ny"
