date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,15,8,0.0,8.7,4,37,12:36 PM,No moonset,08:23 AM,05:55 PM,6,8,9,8,12,12,83,0.0,1021,9,10,108,6,"sacramento,ca"
2020-01-01 01:00:00,15,8,0.0,8.7,4,37,12:36 PM,No moonset,08:23 AM,05:55 PM,6,8,9,8,11,12,82,0.0,1021,9,10,113,6,"sacramento,ca"
2020-01-01 02:00:00,15,8,0.0,8.7,4,37,12:36 PM,No moonset,08:23 AM,05:55 PM,6,8,9,8,10,11,82,0.0,1021,9,10,119,6,"sacramento,ca"
2020-01-01 03:00:00,15,8,0.0,8.7,4,37,12:36 PM,No moonset,08:23 AM,05:55 PM,6,8,9,8,9,11,82,0.0,1021,9,10,125,5,"sacramento,ca"
2020-01-01 04:00:00,15,8,0.0,8.7,4,37,12:36 PM,No moonset,08:23 AM,05:55 PM,6,8,9,8,8,16,82,0.0,1021,9,10,133,4,"sacramento,ca"
2020-01-01 05:00:00,15,8,0.0,8.7,4,37,12:36 PM,No moonset,08:23 AM,05:55 PM,5,8,8,8,7,21,81,0.0,1020,8,10,141,4,"sacramento,ca"
2020-01-01 06:00:00,15,8,0.0,8.7,4,37,12:36 PM,No moonset,08:23 AM,05:55 PM,5,8,8,8,6,26,81,0.0,1020,8,10,148,3,"sacramento,ca"
2020-01-01 07:00:00,15,8,0.0,8.7,4,37,12:36 PM,No moonset,08:23 AM,05:55 PM,5,8,8,8,5,30,79,0.0,1020,8,10,148,3,"sacramento,ca"
2020-01-01 08:00:00,15,8,0.0,8.7,4,37,12:36 PM,No moonset,08:23 AM,05:55 PM,5,8,9,8,5,33,77,0.0,1020,9,10,148,3,"sacramento,ca"
2020-01-01 09:00:00,15,8,0.0,8.7,4,37,12:36 PM,No moonset,08:23 AM,05:55 PM,5,9,9,9,4,37,75,0.0,1020,9,10,148,3,"sacramento,ca"
