date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,22,13,0.0,10.9,4,37,12:54 PM,12:06 AM,08:14 AM,07:05 PM,15,15,16,15,4,40,87,0.0,1019,15,10,256,3,"sanjuan,puertorico"
2020-01-01 01:00:00,22,13,0.0,10.9,4,37,12:54 PM,12:06 AM,08:14 AM,07:05 PM,15,16,16,16,4,35,88,0.0,1018,16,10,258,3,"sanjuan,puertorico"
2020-01-01 02:00:00,22,13,0.0,10.9,4,37,12:54 PM,12:06 AM,08:14 AM,07:05 PM,15,16,16,16,4,30,89,0.0,1018,16,10,259,3,"sanjuan,puertorico"
2020-01-01 03:00:00,22,13,0.0,10.9,4,37,12:54 PM,12:06 AM,08:14 AM,07:05 PM,15,16,16,16,4,25,90,0.0,1017,16,10,260,3,"sanjuan,puertorico"
2020-01-01 04:00:00,22,13,0.0,10.9,4,37,12:54 PM,12:06 AM,08:14 AM,07:05 PM,14,16,15,16,5,26,91,0.0,1017,15,10,248,3,"sanjuan,puertorico"
2020-01-01 05:00:00,22,13,0.0,10.9,4,37,12:54 PM,12:06 AM,08:14 AM,07:05 PM,13,15,15,15,6,28,91,0.0,1016,15,10,236,3,"sanjuan,puertorico"
2020-01-01 06:00:00,22,13,0.0,10.9,4,37,12:54 PM,12:06 AM,08:14 AM,07:05 PM,12,14,14,14,6,29,91,0.0,1016,14,10,224,3,"sanjuan,puertorico"
2020-01-01 07:00:00,22,13,0.0,10.9,4,37,12:54 PM,12:06 AM,08:14 AM,07:05 PM,12,15,14,15,6,27,87,0.0,1016,14,10,219,3,"sanjuan,puertorico"
2020-01-01 08:00:00,22,13,0.0,10.9,4,37,12:54 PM,12:06 AM,08:14 AM,07:05 PM,12,15,15,15,6,25,82,0.0,1016,15,10,213,3,"sanjuan,puertorico"
2020-01-01 09:00:00,22,13,0.0,10.9,4,37,12:54 PM,12:06 AM,08:14 AM,07:05 PM,12,16,16,16,5,24,78,0.0,1016,16,10,208,3,"sanjuan,puertorico"
2020-01-01 10:00:00,22,13,0.0,10.9,4,37,12:54 PM,12:06 AM,08:14 AM,07:05 PM,12,17,18,17,6,20,74,0.0,1015,17,10,174,3,"sanjuan,puertorico"
2020-01-01 11:00:00,22,13,0.0,10.9,4,37,12:54 PM,12:06 AM,08:14 AM,07:05 PM,13,19,20,19,7,16,69,0.0,1015,19,10,140,4,"sanjuan,puertorico"
