date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,3,-3,1,-3,33,100,88,0.0,1003,-2,10,219,21,"spokane,wa"
2020-01-01 01:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,3,-2,2,-2,31,100,90,0.0,1002,0,10,222,20,"spokane,wa"
2020-01-01 02:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,3,-0,3,-0,29,100,91,0.0,1002,3,10,225,18,"spokane,wa"
2020-01-01 03:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,4,1,5,1,27,100,93,0.0,1001,5,10,228,17,"spokane,wa"
2020-01-01 04:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,3,1,4,1,27,97,92,0.0,1001,4,10,228,17,"spokane,wa"
2020-01-01 05:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,3,1,4,1,27,95,92,0.0,1001,4,10,228,16,"spokane,wa"
2020-01-01 06:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,3,1,4,1,27,92,91,0.0,1001,4,10,229,16,"spokane,wa"
2020-01-01 07:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,3,1,4,1,27,81,90,0.0,1001,4,10,231,17,"spokane,wa"
2020-01-01 08:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,2,0,4,0,28,70,88,0.0,1001,4,10,233,17,"spokane,wa"
2020-01-01 09:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,2,0,4,0,29,58,86,0.0,1001,4,10,236,18,"spokane,wa"
2020-01-01 10:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,2,1,5,1,30,49,81,0.0,1001,5,10,238,20,"spokane,wa"
2020-01-01 11:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,2,1,5,1,32,40,77,0.0,1002,5,10,240,22,"spokane,wa"
2020-01-01 12:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,1,2,6,2,33,31,72,0.0,1002,6,10,242,24,"spokane,wa"
2020-01-01 13:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,1,2,6,2,34,32,69,0.0,1002,6,10,243,24,"spokane,wa"
2020-01-01 14:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,0,2,6,2,35,33,66,0.0,1003,6,10,243,25,"spokane,wa"
2020-01-01 15:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,-0,2,6,2,36,34,64,0.0,1003,6,10,244,26,"spokane,wa"
2020-01-01 16:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,-0,1,5,1,34,26,67,0.0,1004,5,10,240,23,"spokane,wa"
2020-01-01 17:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,-0,1,5,1,31,17,70,0.0,1005,5,10,236,20,"spokane,wa"
2020-01-01 18:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,-1,0,4,0,28,9,73,0.0,1006,4,10,232,17,"spokane,wa"
2020-01-01 19:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,-1,-0,3,-0,25,10,77,0.0,1007,3,10,227,15,"spokane,wa"
2020-01-01 20:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,-1,-1,2,-1,23,12,81,0.0,1007,2,10,221,12,"spokane,wa"
2020-01-01 21:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,-1,-1,2,-1,20,13,85,0.0,1008,2,10,215,10,"spokane,wa"
2020-01-01 22:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,-1,-2,2,-2,21,20,85,0.0,1009,2,10,216,12,"spokane,wa"
2020-01-01 23:00:00,7,2,0.0,8.7,2,37,12:28 PM,11:58 PM,08:38 AM,05:08 PM,-1,-2,2,-2,22,27,86,0.0,1009,2,10,216,13,"spokane,wa"
2020-01-02 00:00:00,3,0,0.8,6.9,2,44,12:47 PM,No moonset,08:38 AM,05:09 PM,-1,-2,2,-2,24,35,86,0.0,1009,2,10,216,14,"spokane,wa"
2020-01-02 01:00:00,3,0,0.8,6.9,2,44,12:47 PM,No moonset,08:38 AM,05:09 PM,-1,-2,2,-2,24,38,85,0.0,1009,2,10,218,14,"spokane,wa"
2020-01-02 02:00:00,3,0,0.8,6.9,2,44,12:47 PM,No moonset,08:38 AM,05:09 PM,-1,-3,1,-3,24,40,83,0.0,1009,1,10,220,14,"spokane,wa"
2020-01-02 03:00:00,3,0,0.8,6.9,2,44,12:47 PM,No moonset,08:38 AM,05:09 PM,-1,-3,1,-3,24,43,81,0.0,1009,1,10,221,14,"spokane,wa"
2020-01-02 04:00:00,3,0,0.8,6.9,2,44,12:47 PM,No moonset,08:38 AM,05:09 PM,-2,-3,1,-3,24,36,79,0.0,1010,1,10,227,14,"spokane,wa"
2020-01-02 05:00:00,3,0,0.8,6.9,2,44,12:47 PM,No moonset,08:38 AM,05:09 PM,-3,-3,1,-3,24,29,77,0.0,1011,1,10,233,14,"spokane,wa"
2020-01-02 06:00:00,3,0,0.8,6.9,2,44,12:47 PM,No moonset,08:38 AM,05:09 PM,-3,-3,1,-3,23,22,75,0.0,1012,1,10,239,14,"spokane,wa"
2020-01-02 07:00:00,3,0,0.8,6.9,2,44,12:47 PM,No moonset,08:38 AM,05:09 PM,-3,-3,1,-3,21,24,74,0.0,1013,1,10,239,13,"spokane,wa"
2020-01-02 08:00:00,3,0,0.8,6.9,2,44,12:47 PM,No moonset,08:38 AM,05:09 PM,-4,-3,1,-3,18,26,74,0.0,1014,1,10,239,12,"spokane,wa"
2020-01-02 09:00:00,3,0,0.8,6.9,2,44,12:47 PM,No moonset,08:38 AM,05:09 PM,-4,-3,1,-3,16,28,73,0.0,1015,1,10,238,10,"spokane,wa"
2020-01-02 10:00:00,3,0,0.8,6.9,2,44,12:47 PM,No moonset,08:38 AM,05:09 PM,-4,-2,1,-2,15,36,71,0.0,1015,1,10,236,11,"spokane,wa"
2020-01-02 11:00:00,3,0,0.8,6.9,2,44,12:47 PM,No moonset,08:38 AM,05:09 PM,-4,-2,1,-2,15,44,68,0.0,1016,1,10,233,11,"spokane,wa"
2020-01-02 12:00:00,3,0,0.8,6.9,2,44,12:47 PM,No moonset,08:38 AM,05:09 PM,-4,-1,2,-1,14,52,66,0.0,1017,2,10,230,12,"spokane,wa"
